###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59667.322544  20.272  0.362    28   10 o  0   0.66 220.41696   3.00675  4251.57  5303.70 1.89 1.76 -62.7 -0.427 19.47 20.98 04a59667o0761o
59667.325720 -21.899  1.385    -6    9 o  0   1.66 220.41696   3.00675  4195.34  5223.52 1.89 1.76 -70.7 -0.427 19.50 20.98 04a59667o0768o
59667.337421 -21.816  1.352    -7    9 o  0   0.92 220.41696   3.00675  4181.94  5330.37 1.87 1.77 -71.2 -0.428 19.48 20.98 04a59667o0792o
59668.596836 -22.259  5.727    -4   26 c  0   1.21 220.41696   3.00675   210.13  7061.36 2.39 2.33  16.4 -0.377 18.21 20.27 02a59668o0664c
59668.597750 -25.355 62.000    -0   16 c  0   0.93 220.41696   3.00675 10343.83  7068.30 2.92 2.61  26.4 -0.387 19.14 21.24 02a59668o0666c
59668.600035  21.377  1.175    10   12 c  0   1.30 220.41696   3.00675   189.87  7022.07 2.35 2.31  14.5 -0.390 19.18 21.25 02a59668o0671c
59668.600950  21.868  2.222     6   14 c  0   1.10 220.41696   3.00675 10323.74  7029.64 2.85 2.57  25.9 -0.401 19.20 21.31 02a59668o0673c
59668.993249 -19.505  8.375   -57  480 c  0   1.06 220.41696   3.00675  2765.95   942.38 2.49 2.33 -28.1 -0.387 15.40 17.16 03a59669o0608c
59670.475732  24.066 14.400     1   12 o  0   1.02 220.41696   3.00675    85.85  5215.43 2.84 2.46 -47.3 -0.516 19.47 20.93 01a59670o0576o
59670.477555 -23.873 12.000    -1   12 o  0   1.02 220.41696   3.00675    67.62  5179.46 2.81 2.48 -49.2 -0.510 19.39 20.93 01a59670o0580o
59670.480747  21.639  1.744     8   14 o  0   1.01 220.41696   3.00675   126.86  5253.31 2.99 2.56 -50.0 -0.499 19.40 20.92 01a59670o0587o
59670.485774  20.479  0.507    23   12 o  0   0.90 220.41696   3.00675   145.56  5137.71 2.79 2.47 -48.6 -0.516 19.46 20.96 01a59670o0598o
59670.487138 -22.110  2.692    -5   14 o  0   1.27 220.41696   3.00675 10210.10  5029.20 3.04 2.73 -62.8 -0.482 19.40 20.97 01a59670o0601o
59670.488960 -22.488  3.211    -4   12 o  0   1.47 220.41696   3.00675 10190.97  4992.71 2.98 2.68 -58.8 -0.484 19.44 20.96 01a59670o0605o
59670.492604  21.832  1.971     7   13 o  0   1.17 220.41696   3.00675 10252.01  5068.68 2.98 2.70 -60.4 -0.477 19.44 20.97 01a59670o0613o
59670.500825   0.000 21.116     0   13 o  0   1.46 220.41696   3.00675 10269.08  4948.13 3.03 2.70 -62.3 -0.487 19.44 20.95 01a59670o0631o
59672.985580  21.130  0.742    13   10 c  0   0.95 220.41696   3.00675  8368.16  9142.52 2.58 2.41  83.0 -0.382 19.66 21.40 03a59673o0596c
59672.988769  21.881  1.488     6   10 c  0   1.23 220.41696   3.00675  8349.04  9103.98 2.68 2.52  89.9 -0.380 19.58 21.41 03a59673o0603c
59672.992412  22.683  3.563     3   11 c  0   1.02 220.41696   3.00675  8406.18  9183.29 2.96 2.81 -87.7 -0.371 19.50 21.40 03a59673o0611c
59672.998819  21.971  1.571     6    9 c  0   1.33 220.41696   3.00675  8425.79  9068.90 2.82 2.62 -81.9 -0.372 19.56 21.40 03a59673o0625c
59675.235573  21.684  1.588     8   12 o  0   1.17 220.41696   3.00675  8288.50  5205.46 2.40 2.12 -16.1 -0.437 19.35 20.92 04a59675o0612o
59675.238725  21.096  1.065    13   14 o  0   1.01 220.41696   3.00675  8270.75  5166.50 2.57 2.28 -28.8 -0.431 19.27 20.91 04a59675o0619o
59675.241436  22.209  2.552     5   12 o  0   1.15 220.41696   3.00675  8330.66  5243.18 2.54 2.25 -26.3 -0.410 19.31 20.84 04a59675o0625o
59675.251417  23.007  5.562     2   13 o  0   1.12 220.41696   3.00675  8353.96  5126.13 2.28 2.09 -19.7 -0.448 19.36 20.89 04a59675o0647o
59676.526130  21.863  1.395     6    9 c  0   1.28 220.41696   3.00675 10163.68  3176.02 2.53 2.49  14.3 -0.416 19.58 21.66 02a59676o0612c
59676.529344  21.708  2.644     8   20 c  0   0.36 220.41696   3.00675    67.71  3210.15 2.34 2.30  16.8 -0.421 19.60 21.63 02a59676o0619c
59676.529800  21.142  0.798    13   10 c  0   0.76 220.41696   3.00675 10143.56  3135.39 2.44 2.41 -23.5 -0.422 19.59 21.66 02a59676o0620c
59676.537112  23.397  6.091     2   10 c  0   1.32 220.41696   3.00675 10198.59  3215.98 2.47 2.42  13.5 -0.416 19.60 21.68 02a59676o0635c
59676.539418 -23.587 11.000    -1   15 c  0   0.27 220.41696   3.00675    84.73  3094.92 2.32 2.22  37.4 -0.415 19.56 21.65 02a59676o0640c
59676.547211 -21.526  1.069    -9   10 c  0   1.26 220.41696   3.00675 10222.13  3101.87 2.53 2.50  15.1 -0.416 19.55 21.67 02a59676o0657c
59679.217724  21.384  1.351    10   14 o  0   1.13 220.41696   3.00675  8287.39  5209.16 2.17 1.86 -14.5 -0.452 19.40 20.77 04a59679o0574o
59679.236256  21.336  1.253    11   13 o  0   1.10 220.41696   3.00675  8279.00  5167.57 2.24 1.98 -16.2 -0.443 19.38 20.74 04a59679o0614o
59679.244454  26.111 91.000     0   12 o  0   1.26 220.41696   3.00675  8341.77  5243.62 2.20 1.97 -17.9 -0.437 19.39 20.81 04a59679o0632o
