###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59724.905636  16.251  0.014  1147   16 o  0   5.72 220.41696   3.00675  6103.61  7214.33 2.15 2.14 -64.2 -0.479 19.67 21.20 03a59725o0463o
59726.375157  16.291  0.015  1105   17 o  0   1.45 220.41696   3.00675  4065.31  3355.78 2.77 2.64 -24.0 -0.467 19.41 20.91 01a59726o0311o
59726.378855  16.280  0.015  1117   16 o  0   1.88 220.41696   3.00675  4085.88  3394.20 2.82 2.64 -18.9 -0.463 19.40 20.90 01a59726o0319o
59726.385293  16.278  0.014  1119   16 o  0   1.99 220.41696   3.00675  4027.71  3318.41 2.88 2.71 -15.4 -0.454 19.35 20.92 01a59726o0333o
59726.418080  16.260  0.015  1138   17 o  0   1.91 220.41696   3.00675  4018.47  3434.74 2.85 2.73 -19.7 -0.452 19.32 20.79 01a59726o0403o
59727.128442  16.039  0.088  1394  123 o  0   1.34 220.41696   3.00675  7994.93  3158.12 2.47 1.78 -17.4 -0.416 16.68 18.03 04a59727o0412o
59727.131619  16.256  0.075  1142   86 o  0   1.23 220.41696   3.00675  8016.04  3193.52 2.46 1.78 -16.7 -0.409 17.41 18.67 04a59727o0419o
59727.137611  16.260  0.042  1138   47 o  0   1.29 220.41696   3.00675  7962.75  3110.13 2.41 1.78 -18.4 -0.404 17.94 19.21 04a59727o0432o
59727.147707  16.245  0.019  1154   22 o  0   1.94 220.41696   3.00675  7950.41  3216.80 2.41 1.78 -18.1 -0.415 19.14 20.55 04a59727o0454o
59728.376952  17.225  1.529   468  715 c  0   0.67 220.41696   3.00675  8393.95  7170.40 3.03 2.53  36.5 -0.423 15.20 16.67 02a59728o0302c
59728.928142  16.294  0.015  1103   17 o  0   2.91 220.41696   3.00675 10329.49  3670.83 2.66 2.36 -55.8 -0.384 19.44 20.94 03a59729o0245o
59728.931891  16.332  0.015  1064   16 o  0   3.34 220.41696   3.00675 10346.84  3708.56 2.65 2.29 -57.3 -0.389 19.46 20.98 03a59729o0253o
59728.937050  16.321  0.015  1075   16 o  0   3.20 220.41696   3.00675 10289.76  3629.47 2.59 2.22 -57.9 -0.389 19.48 20.93 03a59729o0264o
59728.939916  16.329  0.016  1068   18 o  0   2.40 220.41696   3.00675   253.55  3438.69 2.28 2.17 -72.5 -0.442 19.47 20.95 03a59729o0270o
59728.943133  16.339  0.015  1058   16 o  0   3.49 220.41696   3.00675   271.93  3477.77 2.24 2.14 -67.0 -0.438 19.52 20.97 03a59729o0277o
59728.948620  16.312  0.015  1084   16 o  0   2.72 220.41696   3.00675 10267.08  3743.81 2.62 2.24 -53.6 -0.388 19.45 20.93 03a59729o0289o
59728.949075  16.326  0.014  1070   15 o  0   3.97 220.41696   3.00675   213.71  3398.64 2.32 2.24 -70.0 -0.439 19.45 20.99 03a59729o0290o
59728.959289  16.286  0.015  1111   17 o  0   2.46 220.41696   3.00675   193.45  3514.86 2.42 2.36 -68.8 -0.438 19.41 20.97 03a59729o0312o
59730.374171  16.454  0.021   952   20 o  0   1.11 220.41696   3.00675  4209.10  5288.50 2.83 2.68 -18.6 -0.457 19.10 20.30 01a59730o0305o
59730.377407  16.446  0.018   958   17 o  0   1.62 220.41696   3.00675  4230.13  5326.69 2.85 2.68  -9.7 -0.452 19.22 20.45 01a59730o0312o
59730.384779  16.457  0.020   949   19 o  0   1.15 220.41696   3.00675  4171.94  5251.46 2.92 2.72  -2.3 -0.442 19.19 20.43 01a59730o0328o
59730.419972  16.471  0.018   937   17 o  0   1.35 220.41696   3.00675  4164.38  5367.95 2.93 2.86  33.8 -0.432 19.15 20.43 01a59730o0402o
59732.366894  16.274  0.012  1123   14 c  0   3.43 220.41696   3.00675  4592.40   854.96 2.44 2.29  89.1 -0.425 19.66 21.43 02a59732o0280c
59732.370111  16.279  0.013  1118   15 c  0   3.22 220.41696   3.00675  4573.42   818.45 2.42 2.27  89.2 -0.433 19.67 21.43 02a59732o0287c
59732.376661  16.272  0.013  1126   14 c  0   2.63 220.41696   3.00675  4633.71   898.13 2.44 2.29  85.7 -0.426 19.63 21.42 02a59732o0301c
59732.387795  16.312  0.014  1085   15 c  0   2.01 220.41696   3.00675  4655.37   779.59 2.43 2.27  84.5 -0.428 19.65 21.40 02a59732o0325c
59734.360545  16.715  0.019   748   14 o  0   2.36 220.41696   3.00675  4207.72  5288.16 2.64 2.56 -21.3 -0.478 19.42 20.80 01a59734o0273o
59734.363769  16.728  0.022   739   16 o  0   1.24 220.41696   3.00675  4229.10  5326.58 2.64 2.54 -25.4 -0.476 19.41 20.82 01a59734o0280o
59734.369754  16.701  0.019   758   14 o  0   1.67 220.41696   3.00675  4170.74  5250.89 2.61 2.53   9.6 -0.478 19.44 20.85 01a59734o0293o
59734.380351  16.722  0.021   744   16 o  0   1.24 220.41696   3.00675  4156.41  5367.99 2.63 2.58  -6.9 -0.474 19.43 20.84 01a59734o0316o
59736.353926  16.795  0.021   695   15 o  0   1.76 220.41696   3.00675  4595.15   860.02 1.94 1.84  81.2 -0.464 19.49 20.58 02a59736o0252o
59736.357128  16.790  0.021   698   15 o  0   1.65 220.41696   3.00675  4577.44   823.68 1.92 1.84 -87.1 -0.469 19.52 20.57 02a59736o0259o
59736.364571  16.833  0.022   671   14 o  0   1.51 220.41696   3.00675  4635.78   899.76 1.95 1.85  79.0 -0.459 19.49 20.60 02a59736o0275o
59736.375173  16.817  0.019   681   13 o  0   3.41 220.41696   3.00675  4658.16   784.53 1.97 1.86  88.1 -0.462 19.49 20.61 02a59736o0298o
59736.862430  16.785  0.021   701   15 o  0   2.10 220.41696   3.00675 10426.26  7529.25 2.56 2.23 -44.9 -0.390 19.42 20.80 03a59737o0372o
59736.865648  16.847  0.023   662   15 o  0   1.88 220.41696   3.00675 10444.06  7568.35 2.52 2.17 -51.6 -0.359 19.46 20.81 03a59737o0379o
59736.867947  16.833  0.023   671   16 o  0   0.91 220.41696   3.00675   353.55  7297.21 2.69 2.22  -8.7 -0.387 19.37 20.87 03a59737o0384o
59736.871180  16.823  0.022   677   15 o  0   1.77 220.41696   3.00675   370.79  7337.79 2.59 2.12  -9.3 -0.414 19.36 20.79 03a59737o0391o
59736.871635  16.849  0.026   661   17 o  0   1.26 220.41696   3.00675 10384.52  7491.47 2.49 2.16 -47.4 -0.395 19.46 20.83 03a59737o0392o
59736.877119  16.842  0.024   666   16 o  0   0.68 220.41696   3.00675   310.24  7257.83 2.57 2.12  -9.9 -0.382 19.46 20.91 03a59737o0404o
59736.881762  16.808  0.022   687   15 o  0   1.50 220.41696   3.00675 10358.08  7607.57 2.48 2.15 -43.8 -0.406 19.45 20.83 03a59737o0414o
59736.888283  16.802  0.021   691   14 o  0   1.58 220.41696   3.00675   282.37  7375.31 2.38 2.07 -20.8 -0.396 19.48 20.93 03a59737o0428o
59738.307760  16.951  0.033   602   20 o  0   1.11 220.41696   3.00675  8266.51  5151.67 3.00 2.85 -48.6 -0.456 19.10 20.29 01a59738o0155o
59738.310062  16.933  0.031   612   19 o  0   0.88 220.41696   3.00675  8246.15  5114.26 3.14 2.90 -20.4 -0.442 19.07 20.30 01a59738o0160o
59738.314208  16.974  0.031   589   18 o  0   1.55 220.41696   3.00675  8305.60  5187.57 3.09 2.91 -52.2 -0.459 19.07 20.30 01a59738o0169o
59738.321113  16.853  0.030   659   20 o  0   1.31 220.41696   3.00675  8323.37  5070.29 3.12 3.08 -25.5 -0.436 19.06 20.32 01a59738o0184o
59744.369559  17.070  0.067   540   36 o  0   0.93 220.41696   3.00675  4516.32  7349.80 2.71 2.26  36.7 -0.401 18.34 18.89 02a59744o0284o
59744.375092  17.059  0.055   545   30 o  0   1.12 220.41696   3.00675  4496.39  7310.93 2.74 2.05  34.8 -0.384 18.42 18.68 02a59744o0296o
59744.378313  17.128  0.060   511   31 o  0   1.20 220.41696   3.00675  4554.90  7390.36 2.77 2.14  35.1 -0.385 18.37 18.67 02a59744o0303o
59744.389283  17.164  0.082   495   41 o  0   0.71 220.41696   3.00675  4573.58  7275.12 2.84 2.25  35.2 -0.371 18.36 18.63 02a59744o0327o
59746.358759  17.078  0.038   536   20 o  0   1.30 220.41696   3.00675  5866.50  1268.64 2.89 2.74  -7.5 -0.464 18.83 19.73 01a59746o0264o
59746.361982  17.090  0.039   530   21 o  0   1.26 220.41696   3.00675  5887.04  1307.86 2.74 2.67  51.2 -0.481 18.84 19.67 01a59746o0271o
59746.372111  17.088  0.043   530   23 o  0   1.08 220.41696   3.00675  5830.18  1232.41 2.69 2.66 -86.7 -0.487 18.84 19.63 01a59746o0293o
59746.379016  17.098  0.052   526   27 o  0   1.28 220.41696   3.00675  5814.44  1350.56 2.70 2.60 -57.4 -0.498 18.52 19.42 01a59746o0308o
59747.107075  17.154  0.052   500   26 o  0   1.05 220.41696   3.00675  1574.16  9437.87 4.07 3.32  83.0 -0.276 18.66 19.82 04a59747o0127o
59747.109887  17.178  0.050   489   24 o  0   1.20 220.41696   3.00675  1594.86  9474.76 3.77 3.06  81.0 -0.278 18.75 19.80 04a59747o0133o
59747.115305  17.065  0.041   542   22 o  0   1.52 220.41696   3.00675  1539.82  9392.09 3.62 2.86  83.1 -0.304 18.79 19.80 04a59747o0145o
59747.125217  17.207  0.050   476   24 o  0   1.24 220.41696   3.00675  1524.24  9502.88 3.54 2.80  83.6 -0.306 18.79 19.80 04a59747o0167o
59750.341664  17.190  0.032   483   16 o  0   1.25 220.41696   3.00675  5862.07  1267.72 2.80 2.73  57.9 -0.469 19.33 20.80 01a59750o0225o
59750.344884  17.197  0.032   480   15 o  0   1.09 220.41696   3.00675  5882.71  1306.45 2.82 2.71  50.4 -0.460 19.33 20.80 01a59750o0232o
59750.355551  17.159  0.031   497   15 o  0   1.12 220.41696   3.00675  5825.53  1230.83 2.89 2.74  46.5 -0.454 19.31 20.76 01a59750o0255o
59750.363854  17.239  0.031   462   14 o  0   1.25 220.41696   3.00675  5810.73  1348.99 2.85 2.76  49.0 -0.465 19.34 20.77 01a59750o0273o
59751.110083  16.859  0.257   655  168 o  0   1.48 220.41696   3.00675  1583.19  9425.01 3.36 2.79 -88.3 -0.339 16.49 18.14 04a59751o0373o
59751.113888  17.017  0.194   567  110 o  0   1.51 220.41696   3.00675  1604.60  9461.34 3.13 2.50 -85.0 -0.346 17.01 18.56 04a59751o0381o
59751.119438  17.890  0.588   254  149 o  0   0.81 220.41696   3.00675  1549.07  9379.09 3.20 2.53 -86.9 -0.345 16.75 18.27 04a59751o0393o
59751.131495  17.288  0.580   441  256 o  0   1.12 220.41696   3.00675  1533.09  9488.52 3.09 2.42 -87.4 -0.359 16.21 17.72 04a59751o0419o
59754.316023  17.328  0.033   425   14 o  0   1.18 220.41696   3.00675  6280.67  7074.50 2.73 2.68 -10.8 -0.461 19.51 21.05 01a59754o0169o
59754.319246  17.399  0.034   398   14 o  0   1.26 220.41696   3.00675  6301.82  7112.74 2.71 2.67 -23.0 -0.465 19.49 21.04 01a59754o0176o
59754.329091  17.305  0.030   435   13 o  0   1.66 220.41696   3.00675  6244.03  7037.70 2.72 2.69  23.6 -0.464 19.51 21.00 01a59754o0197o
59754.338763  17.354  0.035   415   15 o  0   1.14 220.41696   3.00675  6228.71  7154.46 2.84 2.66  49.8 -0.449 19.46 20.96 01a59754o0218o
59756.339338  17.724  0.036   296   11 c  0   1.45 220.41696   3.00675  2378.80  3575.48 2.35 2.24 -76.5 -0.431 19.69 21.51 02a59756o0149c
59756.343610  17.766  0.038   284   11 c  0   1.12 220.41696   3.00675  2358.45  3536.13 2.35 2.27 -85.6 -0.428 19.69 21.53 02a59756o0158c
59756.349580  17.714  0.041   298   12 c  0   0.98 220.41696   3.00675  2416.78  3616.49 2.39 2.33 -87.7 -0.424 19.67 21.50 02a59756o0171c
59756.367513  17.782  0.035   280   10 c  0   1.81 220.41696   3.00675  2436.92  3498.01 2.33 2.26  88.8 -0.430 19.65 21.45 02a59756o0210c
59758.309937  17.591  0.038   334   13 o  0   1.36 220.41696   3.00675  6283.27  7070.42 2.82 2.63 -33.5 -0.473 19.46 21.01 01a59758o0052o
59758.312670  17.542  0.036   349   13 o  0   1.57 220.41696   3.00675  6305.13  7110.04 2.93 2.66 -29.1 -0.466 19.41 21.00 01a59758o0058o
59758.322299  17.544  0.039   349   13 o  0   1.21 220.41696   3.00675  6247.79  7034.74 3.06 2.80  -9.3 -0.433 19.39 21.05 01a59758o0079o
59758.334346  17.578  0.039   338   13 o  0   1.37 220.41696   3.00675  6231.77  7151.14 2.77 2.69 -46.3 -0.465 19.47 21.04 01a59758o0105o
59760.298335  17.990  0.057   231   13 c  0   0.86 220.41696   3.00675  2378.90  3575.45 2.90 2.85 -72.6 -0.416 19.40 21.12 02a59760o0100c
59760.305572  17.922  0.054   246   13 c  0   0.75 220.41696   3.00675  2360.62  3536.77 2.64 2.59 -69.0 -0.416 19.45 21.11 02a59760o0116c
59760.310607  17.890  0.044   254   11 c  0   1.30 220.41696   3.00675  2420.14  3616.21 2.66 2.62 -74.9 -0.415 19.44 21.12 02a59760o0127c
59760.321028  18.059  0.052   217   11 c  0   1.31 220.41696   3.00675  2441.89  3500.59 2.56 2.52 -82.2 -0.412 19.49 21.13 02a59760o0150c
59762.356921  17.851  0.059   263   16 o  0   1.14 220.41696   3.00675   194.95  3632.40 2.80 2.58 -52.5 -0.514 19.35 20.90 01a59762o0007o
59762.360108  17.848  0.055   264   14 o  0   1.30 220.41696   3.00675   216.31  3670.02 3.21 2.96 -49.6 -0.483 19.22 20.87 01a59762o0014o
59762.366021  17.866  0.059   259   15 o  0   1.30 220.41696   3.00675   155.76  3592.10 3.09 2.69 -49.6 -0.509 19.32 20.82 01a59762o0027o
59762.377437  17.881  0.066   256   17 o  0   1.26 220.41696   3.00675   142.55  3708.73 3.15 2.79 -47.8 -0.502 19.23 20.74 01a59762o0052o
59764.799491  17.914  0.049   248   12 o  0   1.98 220.41696   3.00675  7901.39  1229.80 2.31 2.06 -12.0 -0.422 19.43 20.62 03a59765o0245o
59764.802654  17.918  0.056   247   14 o  0   1.08 220.41696   3.00675  7918.72  1269.19 2.44 2.11  -7.1 -0.413 19.38 20.62 03a59765o0252o
59764.808532  17.959  0.054   238   13 o  0   1.39 220.41696   3.00675  7860.11  1191.03 2.49 2.12  -8.2 -0.410 19.35 20.63 03a59765o0265o
59764.818517  18.046  0.062   220   14 o  0   1.12 220.41696   3.00675  7834.70  1309.16 2.34 2.13 -14.8 -0.428 19.42 20.59 03a59765o0287o
59766.289685  17.963  0.067   237   16 o  0   1.06 220.41696   3.00675 10314.67  3381.89 2.76 2.64 -30.3 -0.493 19.24 20.39 01a59766o0108o
59766.292876  18.021  0.069   225   16 o  0   1.36 220.41696   3.00675 10336.86  3420.68 2.83 2.62 -51.3 -0.498 19.28 20.44 01a59766o0115o
59766.295608  17.963  0.059   237   14 o  0   1.23 220.41696   3.00675   182.87  3625.22 2.67 2.39 -47.2 -0.558 19.30 20.54 01a59766o0121o
59766.300618  18.053  0.064   218   14 o  0   1.59 220.41696   3.00675 10276.61  3344.20 2.66 2.64 -32.4 -0.486 19.27 20.46 01a59766o0132o
59766.302439  17.985  0.068   232   16 o  0   1.24 220.41696   3.00675   204.33  3663.48 2.53 2.32 -47.0 -0.570 19.31 20.54 01a59766o0136o
59766.306096  18.211  0.078   189   15 o  0   1.11 220.41696   3.00675   144.24  3587.31 2.70 2.41 -44.4 -0.554 19.32 20.54 01a59766o0144o
59766.314322  18.003  0.071   228   16 o  0   0.87 220.41696   3.00675 10261.22  3463.43 2.75 2.65 -47.4 -0.487 19.26 20.46 01a59766o0162o
59766.319336  17.949  0.076   240   18 o  0   1.23 220.41696   3.00675   131.08  3704.72 2.93 2.75 -53.8 -0.509 19.06 20.29 01a59766o0173o
59767.043493  18.108  0.100   207   21 o  0   1.14 220.41696   3.00675  5996.95  9718.60 2.94 2.74  87.6 -0.314 18.88 19.94 04a59767o0217o
59767.046741  18.114  0.092   206   19 o  0   1.38 220.41696   3.00675  6018.01  9754.78 2.85 2.73 -81.8 -0.323 18.89 19.94 04a59767o0224o
59767.052523  17.979  0.081   234   19 o  0   1.28 220.41696   3.00675  5962.78  9672.21 2.78 2.62 -75.1 -0.331 18.94 19.93 04a59767o0236o
59767.065066  18.125  0.089   204   18 o  0   1.35 220.41696   3.00675  5949.10  9780.05 2.86 2.58 -81.7 -0.327 18.93 19.97 04a59767o0262o
59770.304893  18.017  0.136   226   31 o  0   1.60 220.41696   3.00675   458.99  7505.33 2.88 2.41 -43.4 -0.452 18.73 19.27 01a59770o0143o
59770.308557  17.930  0.129   244   32 o  0   1.26 220.41696   3.00675   480.56  7544.02 2.77 2.38 -42.8 -0.467 18.66 19.27 01a59770o0151o
59770.318850  18.322  0.199   170   34 o  0   1.19 220.41696   3.00675   421.59  7467.82 2.73 2.42 -49.7 -0.449 18.66 19.28 01a59770o0173o
59770.330662  17.985  0.171   232   40 o  0   0.74 220.41696   3.00675   406.17  7586.86 2.72 2.37 -48.2 -0.462 18.65 19.28 01a59770o0198o
59772.319386  18.113  0.088   206   18 o  0   0.95 220.41696   3.00675   117.55  5127.96 1.98 1.91  -5.1 -0.379 18.83 19.21 02a59772o0162o
59772.323029  19.076  1.809    85  154 o  0   0.30 220.41696   3.00675    98.36  5091.51 2.00 1.93 -13.3 -0.405 18.83 19.20 02a59772o0170o
59772.324845  18.858  0.212   104   22 o  0   0.87 220.41696   3.00675 10242.47  5139.15 2.22 2.11  -7.6 -0.454 18.81 19.18 02a59772o0174o
59772.329375  18.327  0.112   170   19 o  0   1.24 220.41696   3.00675   157.46  5167.68 2.02 1.88  12.5 -0.375 18.79 19.16 02a59772o0184o
59772.330293  18.305  0.142   173   24 o  0   1.07 220.41696   3.00675 10222.99  5099.48 2.23 2.13 -24.1 -0.451 18.76 19.17 02a59772o0186o
59772.334894  18.166  0.125   197   25 o  0   1.49 220.41696   3.00675 10280.95  5177.56 2.22 2.10 -11.8 -0.457 18.75 19.15 02a59772o0196o
59772.340795  18.307  0.110   173   19 o  0   1.17 220.41696   3.00675   179.14  5051.54 2.02 1.96 -31.2 -0.398 18.82 19.12 02a59772o0209o
59772.348088  18.618  0.152   130   20 o  0   1.62 220.41696   3.00675 10306.23  5062.08 2.21 2.07 -34.6 -0.462 18.79 19.11 02a59772o0225o
59772.841660  18.356  0.197   165   32 o  0   1.30 220.41696   3.00675  7996.08  5111.58 2.59 2.40 -14.5 -0.428 18.41 18.71 03a59773o0214o
59772.849767  18.629  0.286   128   37 o  0   0.90 220.41696   3.00675  8014.10  5150.49 2.79 2.41  -4.6 -0.417 18.35 18.66 03a59773o0232o
59772.853371  18.185  0.128   193   25 o  0   1.73 220.41696   3.00675  7958.33  5071.71 2.52 2.35 -19.7 -0.435 18.41 18.65 03a59773o0240o
59772.865564  17.942  0.167   242   40 o  0   0.78 220.41696   3.00675  7938.62  5185.31 2.71 2.53 -10.8 -0.418 18.29 18.59 03a59773o0267o
59774.308654  18.159  0.155   198   31 o  0   0.90 220.41696   3.00675   460.48  7506.59 3.15 2.68 -43.1 -0.427 18.71 19.53 01a59774o0148o
59774.311419  18.556  0.237   137   33 o  0   0.89 220.41696   3.00675   481.90  7544.69 3.04 2.58 -43.8 -0.438 18.73 19.52 01a59774o0154o
59774.319196  18.333  0.214   168   36 o  0   0.76 220.41696   3.00675   422.78  7470.11 3.29 2.88 -46.8 -0.402 18.57 19.49 01a59774o0171o
59774.331497  18.398  0.200   159   32 o  0   0.85 220.41696   3.00675   407.82  7586.79 2.97 2.58 -43.5 -0.432 18.64 19.44 01a59774o0198o
59776.298887  18.384  0.065   161   10 o  0   1.17 220.41696   3.00675   121.42  5130.01 2.03 1.86 -58.7 -0.420 19.61 20.81 02a59776o0116o
59776.302081 -21.545  1.551    -9   14 o  0  12.12 220.41696   3.00675   102.02  5092.70 2.04 1.89 -54.7 -0.421 19.54 20.78 02a59776o0123o
59776.305698  18.384  0.078   161   13 o  0   1.26 220.41696   3.00675 10245.82  5139.22 2.12 2.03 -42.5 -0.464 19.57 20.74 02a59776o0131o
59776.309779  18.404  0.086   158   14 o  0   0.91 220.41696   3.00675   160.94  5167.87 2.06 1.88 -57.5 -0.693 19.49 20.54 02a59776o0140o
59776.310231  18.446  0.093   152   14 o  0   0.95 220.41696   3.00675 10226.42  5098.13 2.15 2.01 -55.7 -0.476 19.52 20.59 02a59776o0141o
59776.315673  18.594  0.104   133   14 o  0   1.17 220.41696   3.00675 10286.90  5176.88 2.20 2.02 -58.9 -0.471 19.46 20.43 02a59776o0153o
59776.322993  18.271  0.067   178   12 o  0   1.33 220.41696   3.00675   182.68  5050.71 2.00 1.87 -56.6 -0.406 19.30 20.10 02a59776o0169o
59776.331612  18.175  0.083   195   16 o  0   1.06 220.41696   3.00675 10306.63  5062.04 2.24 2.05 -48.8 -0.462 19.28 20.01 02a59776o0188o
59776.789430  18.778  0.133   112   15 o  0   1.01 220.41696   3.00675  1378.15  9312.21 2.68 2.46 -42.5 -0.398 19.24 20.46 03a59777o0221o
59776.792154  18.420  0.104   156   16 o  0   1.05 220.41696   3.00675  1395.26  9350.58 2.75 2.43 -40.4 -0.403 19.27 20.40 03a59777o0227o
59776.797605  18.489  0.105   146   15 o  0   1.33 220.41696   3.00675  1337.59  9272.95 2.67 2.39 -33.7 -0.398 19.18 20.24 03a59777o0239o
59776.807170  18.425  0.113   155   18 o  0   1.00 220.41696   3.00675  1311.56  9389.27 2.79 2.42 -35.4 -0.401 19.08 20.08 03a59777o0260o
59778.328603  18.375  0.088   162   14 o  0   1.06 220.41696   3.00675  4144.51  9850.20 2.79 2.64 -45.5 -0.477 19.40 20.91 01a59778o0186o
59778.333616  18.608  0.113   131   15 o  0   0.85 220.41696   3.00675  4164.50  9890.28 3.01 2.94  85.9 -0.438 19.35 20.91 01a59778o0197o
59778.337260  18.382  0.086   161   14 o  0   1.35 220.41696   3.00675  4104.93  9813.69 2.92 2.84 -65.5 -0.448 19.32 20.90 01a59778o0205o
59778.352293  18.312  0.082   172   14 o  0   1.25 220.41696   3.00675  4086.20  9933.13 3.01 2.93 -78.4 -0.432 19.27 20.82 01a59778o0238o
59780.269184  18.713  0.090   119   11 c  0   1.53 220.41696   3.00675   285.59  9025.26 2.71 2.29 -56.3 -0.442 19.52 21.16 02a59780o0060c
59780.272817  18.731  0.102   117   12 c  0   1.14 220.41696   3.00675   266.25  8986.87 2.51 2.15 -54.6 -0.438 19.60 21.17 02a59780o0068c
59780.278263  18.842  0.113   106   12 c  0   0.87 220.41696   3.00675   324.34  9064.68 2.51 2.14 -56.6 -0.430 19.58 21.17 02a59780o0080c
59780.285548  18.639  0.092   127   12 c  0   0.85 220.41696   3.00675 10444.57  9035.58 2.88 2.75 -49.7 -0.383 19.56 21.20 02a59780o0096c
59780.288725  18.574  0.087   135   12 c  0   1.09 220.41696   3.00675 10424.66  8992.46 2.97 2.83 -57.4 -0.381 19.50 21.30 02a59780o0103c
59780.289629  18.691  0.084   121   10 c  0   1.38 220.41696   3.00675   345.24  8944.55 2.68 2.31 -58.4 -0.427 19.49 21.14 02a59780o0105c
59780.294612  18.616  0.116   130   15 c  0   1.38 220.41696   3.00675 10485.07  9073.28 3.58 3.36 -62.8 -0.367 19.32 21.19 02a59780o0116c
59780.306862  18.707  0.134   119   16 c  0   1.02 220.41696   3.00675 10504.18  8956.71 2.96 2.82 -50.2 -0.379 19.53 21.18 02a59780o0143c
59780.847579  18.454  0.070   151   11 o  0   1.99 220.41696   3.00675  1352.07  9282.68 2.59 2.33 -45.8 -0.410 19.44 20.88 03a59781o0284o
59780.860798  18.401  0.082   158   13 o  0   1.24 220.41696   3.00675  1334.91  9400.07 2.53 2.21 -42.1 -0.423 19.45 20.74 03a59781o0303o
59783.026897  18.926  0.120    98   12 o  0   1.23 220.41696   3.00675  4329.92  7171.66 2.47 2.24 -77.6 -0.384 19.22 20.66 04a59783o0172o
59783.030264  18.723  0.101   118   12 o  0   1.37 220.41696   3.00675  4350.60  7208.92 2.49 2.19 -69.8 -0.390 19.25 20.66 04a59783o0179o
59783.036250  18.759  0.100   114   11 o  0   1.13 220.41696   3.00675  4295.71  7127.47 2.39 2.07 -73.3 -0.394 19.30 20.67 04a59783o0192o
59783.048228  18.634  0.092   128   12 o  0   1.19 220.41696   3.00675  4280.63  7236.90 2.51 2.17 -72.0 -0.380 19.27 20.77 04a59783o0218o
59784.253989  19.404  0.208    63   13 c  0   1.60 220.41696   3.00675   293.78  9026.57 2.55 2.14 -62.2 -0.435 19.20 20.38 02a59784o0027c
59784.257619  18.899  0.108   100   11 c  0   1.22 220.41696   3.00675   273.18  8988.54 2.59 2.14 -60.8 -0.426 19.45 20.81 02a59784o0035c
59784.259437  18.741  0.103   116   12 c  0   1.31 220.41696   3.00675 10451.26  9036.81 2.77 2.71 -70.5 -0.377 19.54 20.99 02a59784o0039c
59784.263057  18.594  0.089   133   12 c  0   1.01 220.41696   3.00675 10431.47  8998.56 2.81 2.76 -80.5 -0.381 19.63 21.13 02a59784o0047c
59784.268053  18.644  0.098   127   12 c  0   0.91 220.41696   3.00675   332.06  9068.64 2.57 2.08 -60.1 -0.437 19.60 21.16 02a59784o0058c
59784.269417  18.680  0.131   122   16 c  0   1.03 220.41696   3.00675 10492.40  9075.61 2.93 2.73 -61.7 -0.376 19.61 21.21 02a59784o0061c
59784.278930  18.645  0.086   126   11 c  0   1.23 220.41696   3.00675   352.03  8949.87 2.48 2.08 -58.3 -0.438 19.59 21.16 02a59784o0082c
59784.280286  18.924  0.168    98   16 c  0   1.27 220.41696   3.00675 10509.62  8960.93 2.98 2.69 -63.4 -0.380 19.60 21.21 02a59784o0085c
59784.775076  18.752  0.080   115    9 c  0   1.35 220.41696   3.00675  2150.59  3332.47 2.57 2.46 -53.6 -0.405 19.74 21.76 03a59785o0119c
59784.778393  18.911  0.089    99    9 c  0   1.00 220.41696   3.00675  2168.02  3372.14 2.53 2.41 -55.4 -0.405 19.76 21.76 03a59785o0125c
59784.783856  18.842  0.089   106    9 c  0   1.35 220.41696   3.00675  2110.33  3293.45 2.64 2.54 -50.5 -0.401 19.73 21.76 03a59785o0137c
59784.795318  18.653  0.068   126    8 c  0   1.39 220.41696   3.00675  2087.63  3409.40 2.68 2.59 -47.7 -0.396 19.68 21.76 03a59785o0162c
59786.249305  18.682  0.167   122   20 o  0   1.02 220.41696   3.00675  7933.57  3057.09 2.65 2.64 -86.4 -0.473 18.87 19.65 01a59786o0033o
59786.252496  18.774  0.140   112   16 o  0   1.19 220.41696   3.00675  7952.99  3095.03 2.67 2.60 -63.7 -0.477 19.14 20.17 01a59786o0040o
59786.274390  18.909  0.134    99   13 o  0   1.42 220.41696   3.00675  7894.08  3022.21 2.68 2.54 -66.6 -0.490 19.29 20.50 01a59786o0088o
59786.284144  18.897  0.135   100   14 o  0   1.13 220.41696   3.00675  7881.03  3140.87 2.67 2.55 -68.6 -0.490 19.30 20.52 01a59786o0109o
59787.009009  19.109  0.209    82   17 o  0   1.12 220.41696   3.00675  8205.65  6975.57 3.00 2.53 -14.8 -0.395 19.04 20.45 04a59787o0133o
59787.012199  19.015  0.186    90   17 o  0   0.89 220.41696   3.00675  8227.10  7012.50 2.95 2.48 -18.8 -0.395 19.06 20.46 04a59787o0140o
59787.018584  18.841  0.142   106   15 o  0   1.13 220.41696   3.00675  8170.27  6931.19 2.98 2.46 -21.5 -0.396 19.07 20.52 04a59787o0154o
59787.028644  18.992  0.154    92   14 o  0   1.43 220.41696   3.00675  8154.68  7041.93 2.85 2.38 -21.5 -0.395 19.13 20.50 04a59787o0176o
