ZTF22aajijjf 0.022 220.4169283 3.0067643
filter ATo
#59584.616 19.200 9.990
#59584.619 19.200 9.990
#59584.625 19.230 9.990
#59584.637 19.270 9.990
#59588.610 19.280 9.990
#59588.613 19.300 9.990
#59588.620 19.270 9.990
#59588.630 19.220 9.990
#59592.637 19.270 9.990
#59592.640 19.200 9.990
#59592.657 19.260 9.990
#59592.665 19.020 9.990
#59596.589 18.590 9.990
#59596.593 18.610 9.990
#59596.599 18.620 9.990
#59596.609 18.670 9.990
#59600.621 18.860 9.990
#59600.625 18.810 9.990
#59600.640 18.910 9.990
#59600.652 18.750 9.990
#59604.579 18.680 9.990
#59604.582 18.710 9.990
#59604.588 18.730 9.990
#59604.605 18.700 9.990
#59607.663 19.540 9.990
#59607.666 19.460 9.990
#59607.667 19.420 9.990
#59607.670 19.230 9.990
#59618.635 19.460 9.990
#59618.637 19.460 9.990
#59618.645 19.420 9.990
#59618.655 19.450 9.990
#59622.628 19.440 9.990
#59622.630 19.450 9.990
#59622.633 19.460 9.990
#59622.648 19.440 9.990
#59624.660 19.520 9.990
#59624.664 19.510 9.990
#59624.666 19.430 9.990
#59624.671 19.090 9.990
#59628.592 17.320 9.990
#59628.594 17.860 9.990
#59628.600 17.690 9.990
#59628.606 18.700 9.990
#59636.581 19.620 9.990
#59636.584 19.620 9.990
#59636.586 19.610 9.990
#59636.597 19.610 9.990
#59638.562 19.350 9.990
#59638.564 19.370 9.990
#59638.567 19.360 9.990
#59638.574 19.390 9.990
#59642.559 19.460 9.990
#59642.563 19.500 9.990
#59642.568 19.470 9.990
#59642.596 19.490 9.990
#59646.619 18.520 9.990
#59646.622 17.170 9.990
#59646.628 16.450 9.990
#59646.639 19.160 9.990
#59650.591 19.230 9.990
#59650.594 19.350 9.990
#59650.624 19.430 9.990
#59650.640 19.400 9.990
#59654.532 18.570 9.990
#59654.534 18.590 9.990
#59654.537 18.700 9.990
#59654.549 18.750 9.990
#59656.426 16.610 9.990
#59656.428 16.890 9.990
#59656.432 17.020 9.990
#59656.439 17.630 9.990
#59660.567 18.390 9.990
#59660.571 18.340 9.990
#59660.576 18.440 9.990
#59660.590 18.030 9.990
#59666.574 19.380 9.990
#59666.578 19.320 9.990
#59666.584 19.350 9.990
#59666.594 19.330 9.990
#59666.600 19.400 9.990
#59666.611 19.280 9.990
#59666.626 19.320 9.990
#59666.633 19.340 9.990
#59670.487 19.400 9.990
#59670.476 19.470 9.990
#59670.478 19.390 9.990
#59670.481 19.400 9.990
#59670.489 19.440 9.990
#59670.486 19.460 9.990
#59670.493 19.440 9.990
#59670.501 19.440 9.990
#59694.484 19.270 9.990
#59694.487 19.320 9.990
#59694.519 19.290 9.990
#59694.526 19.220 9.990
#59682.442 18.900 9.990
#59682.446 18.830 9.990
#59682.451 18.860 9.990
#59698.446 17.720 9.990
#59682.465 18.590 9.990
#59698.481 18.700 9.990
#59688.507 18.370 9.990
#59698.484 18.760 9.990
#59688.510 18.360 9.990
#59698.490 18.860 9.990
#59688.538 18.360 9.990
#59688.547 18.350 9.990
#59690.469 19.060 9.990
#59690.502 19.050 9.990
#59690.506 19.050 9.990
#59690.513 19.040 9.990
59710.383 17.789 0.143
#59710.387 18.290 9.990
59710.393 17.768 0.102
59710.406 17.907 0.114
filter LTg
59725.083 15.915 0.023
59729.946 16.145 0.029
59734.955 16.555 0.052
59745.911 17.511 0.032
filter LTi
59725.085 16.765 0.062
59729.948 16.975 0.055
59734.957 17.341 0.063
59745.913 17.417 0.063
filter LTr
59725.084 16.035 0.040
59729.947 16.174 0.055
59734.956 16.510 0.050
59745.912 16.918 0.059
filter z_s
59725.086 16.736 0.067
59729.949 16.971 0.077
59734.958 17.152 0.065
59745.914 17.205 0.076
filter g_s
#59725.395 22.900 9.990
59754.317 18.207 0.068
59756.311 18.191 0.044
filter i_s
#59725.398 22.100 9.990
59754.321 17.616 0.050
59756.315 17.627 0.050
filter r_s
#59725.397 22.400 9.990
59754.320 17.264 0.047
59756.314 17.360 0.048
filter sedmg
59730.297 16.242 0.016
filter sedmi
59730.300 16.732 0.015
filter sedmr
59730.270 16.170 0.020
59725.343 16.014 0.016
59725.428 16.007 0.012
59730.298 16.181 0.008
59743.283 16.807 0.021
filter B_UVOT_AB
59716.410 17.081 0.051
59722.745 15.870 0.031
59720.459 15.901 0.033
59720.061 15.919 0.034
filter U_UVOT_AB
59716.409 19.109 0.115
59720.458 17.719 0.057
59720.060 17.558 0.054
59722.744 17.593 0.049
filter UVM2_AB
59716.415 26.032 11.604
59722.752 21.938 0.388
59720.463 21.284 0.280
59720.066 22.592 0.736
filter UVW1_AB
59716.407 21.550 0.422
59720.457 19.700 0.120
59720.059 19.685 0.123
59722.742 20.054 0.175
filter UVW2_AB
59716.412 22.320 0.363
59722.748 21.067 0.147
59720.460 21.136 0.172
59720.063 21.083 0.169
filter V_UVOT_AB
59716.415 17.098 0.089
59722.750 15.924 0.047
59720.462 15.929 0.051
59720.065 16.022 0.055
filter ztfg
#59677.316 20.009 9.990
#59679.315 20.190 9.990
#59682.395 19.520 9.990
#59684.300 18.975 9.990
#59693.420 20.137 9.990
#59695.370 20.582 9.990
#59697.286 20.720 9.990
#59699.442 20.399 9.990
#59701.316 20.511 9.990
#59701.380 20.247 9.990
59711.236 17.701 0.059
#59679.315 20.190 9.990
#59682.395 19.520 9.990
#59684.300 18.975 9.990
#59693.420 20.137 9.990
#59695.370 20.582 9.990
#59697.286 20.720 9.990
#59699.442 20.399 9.990
#59701.316 20.511 9.990
#59701.380 20.247 9.990
59711.236 17.701 0.059
59711.236 17.702 0.059
59717.333 16.158 0.028
59717.333 16.158 0.028
59717.333 16.158 0.028
#59722.315 20.611 9.990
59722.400 15.850 0.028
59722.315 15.846 0.033
59722.315 15.846 0.033
59722.315 15.846 0.033
59722.400 15.850 0.028
#59722.315 20.611 9.990
59722.400 15.850 0.028
59724.317 15.885 0.031
59724.317 15.885 0.031
59724.317 15.885 0.031
59726.316 15.959 0.037
59726.316 15.959 0.037
59729.375 16.098 0.026
59726.316 15.959 0.037
59729.375 16.098 0.026
59729.375 16.098 0.026
59731.318 16.246 0.029
59731.318 16.246 0.029
59731.318 16.246 0.029
59735.274 16.636 0.041
59735.274 16.636 0.041
59737.191 16.802 0.039
59737.191 16.802 0.039
59735.274 16.636 0.041
