t mag mag_unc fid
-12.75979381912075 -16.482982635498047 0.29077595472335815 1
-11.918528228431143 -17.042421340942383 0.1849447637796402 1
-5.475305811660124 -18.636960983276367 0.2223351150751114 1
-4.555983671220878 -18.80795669555664 0.03189980238676071 1
-3.614403228395759 -18.90377426147461 0.0224841870367527 1
-2.650117712109126 -18.94268798828125 0.025999395176768303 1
-1.761796863189455 -18.986623764038086 0.023914437741041183 1
-0.8084181042360588 -19.028766632080078 0.016528943553566933 1
0.13307334057904258 -19.030454635620117 0.019610662013292313 1
1.0413214327197013 -19.0284423828125 0.01887422241270542 1
1.978331203813015 -18.983755111694336 0.020215868949890137 1
2.8854607934359033 -18.974990844726562 0.020621348172426224 1
3.827203198325755 -18.913707733154297 0.02337636612355709 1
4.706521425310289 -18.904266357421875 0.018762916326522827 1
5.656533302804558 -18.838485717773438 0.021516771987080574 1
6.5825197418698025 -18.68697166442871 0.04192476347088814 1
7.497723086314392 -18.599821090698242 0.026964575052261353 1
8.427765959275824 -18.545541763305664 0.035687003284692764 1
9.37000661143325 -18.412630081176758 0.03868603706359863 1
11.18847534680787 -18.289987564086914 0.040288928896188736 1
12.072705996233102 -18.131759643554688 0.046687670052051544 1
12.999763684364455 -17.940406799316406 0.06520166993141174 1
13.865334963395064 -17.67127227783203 0.17837518453598022 1
14.862762514941696 -17.84113883972168 0.09928598999977112 1
15.783125645914062 -17.70974349975586 0.11530882865190506 1
16.701207379810512 -17.565523147583008 0.12273450195789337 1
17.66533271849458 -17.49380111694336 0.21441735327243805 1
18.49350544264904 -17.219865798950195 0.17601501941680908 1
19.41218332566211 -17.319725036621094 0.13934694230556488 1
21.259709133343886 -17.058839797973633 0.14436490833759308 1
22.198604290095258 -16.793039321899414 0.1183105856180191 1
23.089772385864677 -16.880340576171875 0.1196780577301979 1
32.324958118400446 -16.38538360595703 0.30890071392059326 1
-12.827031641710562 -16.82772445678711 0.1815546303987503 2
-11.85335733367618 -17.027490615844727 0.15286540985107422 2
-10.952599323870153 -17.393823623657227 0.08032222092151642 2
-10.02531918796721 -17.623584747314453 0.11821366846561432 2
-9.081619310990058 -17.945159912109375 0.0797247663140297 2
-8.162519649251937 -18.28514289855957 0.0764649361371994 2
-7.238235331924006 -18.28207015991211 0.07494805753231049 2
-6.3385486162896525 -18.501508712768555 0.055037353187799454 2
-5.406939729573926 -18.651491165161133 0.04613897576928139 2
-4.464175876030677 -18.799972534179688 0.054250676184892654 2
-3.591686623373732 -18.895334243774414 0.025738686323165894 2
-2.7075645756973055 -18.955392837524414 0.027308324351906776 2
-1.7091618697038709 -18.925588607788086 0.036985691636800766 2
-0.8597032981495135 -18.95973777770996 0.021853188052773476 2
0.05989901573703078 -19.019914627075195 0.02392720989882946 2
1.9221371310381596 -19.019495010375977 0.022409044206142426 2
2.8294767528030045 -18.9674129486084 0.026121195405721664 2
3.749384286184537 -19.031728744506836 0.023201582953333855 2
4.702255903911602 -18.966733932495117 0.031250882893800735 2
5.5996986167038 -18.95102310180664 0.022489653900265694 2
6.522456980465027 -18.903223037719727 0.024943720549345016 2
7.448445203133284 -18.859785079956055 0.02387082576751709 2
8.37068923712945 -18.794954299926758 0.028506772592663765 2
9.315773616184057 -18.832651138305664 0.033163346350193024 2
11.12754063636092 -18.691251754760742 0.02710869535803795 2
12.050967219773666 -18.69552230834961 0.035779573023319244 2
13.051708240914278 -18.642309188842773 0.04001997783780098 2
14.806289068591605 -18.63264274597168 0.04542112350463867 2
15.726237576729806 -18.47665786743164 0.044156648218631744 2
16.6449314580433 -18.43590545654297 0.05201832577586174 2
17.58730381287332 -18.321834564208984 0.05640193074941635 2
18.54788434796544 -18.33125877380371 0.08309698849916458 2
19.48460401293591 -18.114089965820312 0.09926582127809525 2
20.3415063653155 -18.172046661376953 0.06729630380868912 2
21.315379981965346 -18.044763565063477 0.10441204160451889 2
22.21871210808601 -17.885488510131836 0.059455644339323044 2
23.182642589429758 -17.92938804626465 0.10212878882884979 2
32.37086651259105 -17.321834564208984 0.12485624104738235 2
