t mag mag_unc fid
-14.22228293965537 -15.892203330993652 0.2044438272714615 1
-13.366504488452343 -16.28293800354004 0.1187315583229065 1
-12.41182426497437 -16.791336059570312 0.08114543557167053 1
-10.50388953884581 -17.527341842651367 0.04291341081261635 1
-9.596125348561904 -17.825416564941406 0.03353111818432808 1
-8.644549141507406 -18.03196907043457 0.02337261103093624 1
-7.75671086361426 -18.1367244720459 0.028730498626828194 1
-6.835610151788983 -18.286113739013672 0.02265830710530281 1
-5.92054187570082 -18.373764038085938 0.0189015232026577 1
-4.989514918176383 -18.5111141204834 0.02129598706960678 1
-4.080242618742012 -18.58036994934082 0.017171140760183334 1
-3.1537014395240677 -18.611726760864258 0.01905442401766777 1
-1.2744234290281822 -18.578170776367188 0.0184341948479414 1
0.6374015780675987 -18.6206111907959 0.019055422395467758 1
2.3662506731550454 -18.6569766998291 0.01976899988949299 1
3.404260817102348 -18.596189498901367 0.03792402893304825 1
4.2748042242212385 -18.5845890045166 0.036045629531145096 1
5.2636298977924705 -18.465251922607422 0.04324261099100113 1
6.141480965541542 -18.445919036865234 0.04645418003201485 1
7.042431816054005 -18.515792846679688 0.04130381718277931 1
8.878959052717814 -18.197233200073242 0.10506665706634521 1
9.784953605155344 -18.22066307067871 0.05610575154423714 1
10.69995026322931 -18.090986251831055 0.04045437276363373 1
11.659713625862931 -17.99095916748047 0.03561890497803688 1
12.61364512479308 -17.920251846313477 0.11516574770212173 1
13.483936025889914 -17.815370559692383 0.06644955277442932 1
15.378304921045638 -17.73797607421875 0.03473019227385521 1
16.307920519739888 -17.627483367919922 0.04350317642092705 1
18.18059569790254 -17.485454559326172 0.04652873054146767 1
19.117780439227044 -17.40581703186035 0.055023279041051865 1
21.04503036188714 -17.340251922607422 0.09711338579654694 1
22.905081801528084 -17.19048500061035 0.12555629014968872 1
23.794061002756504 -16.822351455688477 0.09035633504390717 1
24.72461065443487 -16.804346084594727 0.08959291130304337 1
25.750111791537858 -16.67748260498047 0.3278339207172394 1
26.64344331479615 -16.864578247070312 0.12688295543193817 1
29.30781234898012 -16.45354461669922 0.18774913251399994 1
30.186050278787523 -16.30413055419922 0.26944148540496826 1
32.051247632357544 -16.08371925354004 0.29740196466445923 1
33.12590631363203 -16.35565757751465 0.2524316608905792 1
33.97969217727111 -16.40152359008789 0.3057834506034851 1
39.46069598426228 -15.824539184570312 0.19357264041900635 1
41.347106127457536 -15.82661247253418 0.2315564602613449 1
42.2433392756974 -16.150638580322266 0.2549003064632416 1
-14.272789229157215 -16.25873565673828 0.23154300451278687 2
-13.287187496869512 -16.79566192626953 0.1520490050315857 2
-12.401149303807134 -17.343774795532227 0.0824601948261261 2
-11.433882149802859 -17.454782485961914 0.07632327079772949 2
-10.559324017737127 -17.535478591918945 0.07264097779989243 2
-9.581828815041035 -17.916250228881836 0.05902507156133652 2
-8.70471655070339 -18.133800506591797 0.03673122823238373 2
-7.767643732820381 -18.252254486083984 0.04603827744722366 2
-6.829001021570593 -18.44805145263672 0.03249841555953026 2
-5.881746704262113 -18.54839515686035 0.026879213750362396 2
-4.972481553614859 -18.594314575195312 0.030364861711859703 2
-4.02276985521948 -18.695419311523438 0.026483185589313507 2
-3.132197539821032 -18.748844146728516 0.031657733023166656 2
-2.173196285714014 -18.745058059692383 0.0257930476218462 2
-1.2651097030312293 -18.803415298461914 0.032439589500427246 2
-0.34635981887288414 -18.815441131591797 0.021641135215759277 2
0.5798141745298742 -18.850984573364258 0.02416762337088585 2
2.4545258118623146 -18.881786346435547 0.02198399417102337 2
3.36589551156347 -18.813251495361328 0.03269195556640625 2
4.272742680305946 -18.864822387695312 0.02834586426615715 2
5.197224048543082 -18.806175231933594 0.03182758018374443 2
6.131006623103786 -18.749624252319336 0.038902003318071365 2
7.062359578551218 -18.820236206054688 0.035506341606378555 2
8.943774396711019 -18.662067413330078 0.052289798855781555 2
9.863912349284913 -18.691307067871094 0.05721186101436615 2
10.848289012767118 -18.598712921142578 0.06895357370376587 2
11.754248630231249 -18.487014770507812 0.04380347207188606 2
14.511395636219584 -18.43677520751953 0.08934246748685837 2
15.463666852473688 -18.25336265563965 0.050551045686006546 2
16.42983695431617 -18.274871826171875 0.06629453599452972 2
17.196473397899112 -18.25609016418457 0.05916387587785721 2
18.17276499544581 -18.189922332763672 0.04715808480978012 2
19.15190801562304 -18.156736373901367 0.06176898255944252 2
21.831476322860357 -18.06200408935547 0.05589190497994423 2
22.789878458538706 -17.892555236816406 0.09263256192207336 2
23.71452553344747 -18.184921264648438 0.08370872586965561 2
24.623920496798767 -18.068750381469727 0.04408431798219681 2
25.65015419304177 -18.02596092224121 0.055813901126384735 2
26.514527251720846 -17.952346801757812 0.06469115614891052 2
29.315646611129868 -17.68253517150879 0.09570425003767014 2
30.260808913758375 -17.60643196105957 0.10258130729198456 2
31.172646053512423 -17.745344161987305 0.07721711695194244 2
32.10916097112477 -17.569421768188477 0.0846293494105339 2
33.02487404800834 -17.41469383239746 0.15499716997146606 2
33.91209347718357 -17.47199058532715 0.19606368243694305 2
34.86960631394854 -17.4206485748291 0.19354484975337982 2
35.850855663674736 -17.1494140625 0.27736133337020874 2
37.718177220058614 -17.233671188354492 0.2710232436656952 2
38.661802738832314 -17.082679748535156 0.24920855462551117 2
39.61195956315489 -17.08971405029297 0.17870798707008362 2
40.40796193142898 -17.231027603149414 0.09693271666765213 2
41.412889569160726 -17.085159301757812 0.1547461301088333 2
42.384248468142864 -17.1743106842041 0.22928617894649506 2
45.066241968333195 -16.93641471862793 0.22450478374958038 2
51.510916341410926 -17.146970748901367 0.20019958913326263 2
54.31553909032776 -16.480785369873047 0.3529815971851349 2
