sn ebv e_ebv sbv e_sbv 
ZTF18abeegsl 0.108688 0.011281 0.605831 0.009482 
ZTF18aawjywv 0.089541 0.013459 0.789961 0.008480 
ZTF18abdefet 0.265446 0.009393 0.988484 0.013718 
ZTF18aaqffyp 0.125367 0.008782 1.189148 0.011419 
ZTF18abkhcwl 0.027447 0.007626 0.985563 0.009032 
ZTF18abpmmpo 0.033848 0.007930 1.102655 0.019943 
ZTF18aaqcqvr 0.084810 0.009631 1.017615 0.012700 
ZTF18aasesgl 0.521398 0.047549 0.938613 0.037289 
ZTF18abokpvh -0.028484 0.009969 1.075375 0.024045 
ZTF18aavrwhu 0.044228 0.006324 1.128050 0.012238 
ZTF18abclfee 0.087442 0.020399 0.547854 0.013931 
ZTF18aboaeqy 0.031339 0.024325 1.131483 0.040615 
ZTF18abcecfi 0.172220 0.019073 1.036422 0.025654 
ZTF18aaykjei -0.177228 0.034378 1.987697 0.020535 
ZTF18abqjvyl 0.035182 0.013040 1.100557 0.040015 
ZTF18abtogdl 0.018039 0.008412 0.985892 0.016420 
ZTF18aauocnw 0.130657 0.010921 0.999154 0.016654 
ZTF18aaydmkh 0.273972 0.008741 1.058391 0.015363 
ZTF18abslxhz 0.010687 0.009170 1.093030 0.021181 
ZTF18abwtops 0.015350 0.015808 0.824007 0.024099 
ZTF18aaxqyki 0.025361 0.007906 1.086330 0.016955 
ZTF18aaunfqq 0.158044 0.009789 0.879899 0.008369 
ZTF18abeecwe 0.135339 0.004813 0.937145 0.004162 
ZTF18abjtger 0.069056 0.020795 1.107907 0.029819 
ZTF18aapqwyv 0.258586 0.017817 0.754928 0.014480 
ZTF18abdfwur 0.139383 0.010984 0.873795 0.010659 
ZTF18aaxvpsw 0.082799 0.009514 1.008637 0.012096 
ZTF18aayjvve 0.163777 0.007471 0.974754 0.008683 
ZTF18abhpgje -0.044362 0.018203 1.298375 0.022324 
