t mag mag_unc fid
-14.217282246808399 -17.06937599182129 0.1891411989927292 1
-13.284589085505221 -16.74338150024414 0.25429776310920715 1
-12.349096739300242 -17.462194442749023 0.12013789266347885 1
-11.462401056685822 -17.783912658691406 0.06770914047956467 1
-10.614615851554317 -17.97454833984375 0.0824197456240654 1
-9.66387309819001 -18.384490966796875 0.04180370271205902 1
-8.772519112571372 -18.58506202697754 0.049419011920690536 1
-7.8433921499063075 -18.672046661376953 0.03894965723156929 1
-6.963951268530302 -18.87802505493164 0.031812652945518494 1
-6.032393795633823 -19.00643539428711 0.03400286287069321 1
-5.12053707000408 -19.05437660217285 0.022607654333114624 1
-4.2331861412199885 -19.16144561767578 0.025978300720453262 1
-3.2874424220568943 -19.226755142211914 0.024118438363075256 1
-2.363996762036602 -19.226646423339844 0.026075968518853188 1
-1.4461250001382406 -19.25790023803711 0.03513867408037186 1
-0.6521896740077467 -19.169235229492188 0.06007238104939461 1
0.2641357790233324 -19.301698684692383 0.035561829805374146 1
1.1602170289615572 -19.273956298828125 0.070543073117733 1
2.1041925423744847 -19.34684181213379 0.057646505534648895 1
3.087756431077782 -19.19505500793457 0.08359523862600327 1
3.807550588912884 -19.156797409057617 0.08122818917036057 1
4.786057880256271 -19.12981605529785 0.06489396840333939 1
5.643197192314445 -19.074777603149414 0.03397245332598686 1
6.546334057719028 -18.996301651000977 0.042657654732465744 1
16.5636453577621 -18.31010627746582 0.040827974677085876 1
41.87015301895503 -16.281906127929688 0.31449347734451294 1
42.78531037119176 -16.480587005615234 0.21334192156791687 1
43.65538405777508 -16.543075561523438 0.2815481126308441 1
-14.140922040931637 -16.663909912109375 0.2586597502231598 2
-13.237163156652283 -17.085512161254883 0.17197005450725555 2
-12.368568569334034 -17.62729835510254 0.10344519466161728 2
-11.477073052631475 -17.924606323242188 0.11496004462242126 2
-10.576247871580087 -18.224538803100586 0.06279896199703217 2
-9.682387409671007 -18.47304344177246 0.05437333881855011 2
-8.725765036365043 -18.711341857910156 0.047008346766233444 2
-7.844124275742206 -18.86600112915039 0.03530439734458923 2
-6.883586186618692 -19.094308853149414 0.04754671826958656 2
-6.05377540763373 -19.159473419189453 0.04151473194360733 2
-5.160618236835074 -19.221818923950195 0.029395390301942825 2
-4.253517633027302 -19.286897659301758 0.02901965007185936 2
-3.348286685017545 -19.38616371154785 0.02719907835125923 2
-2.416735348811346 -19.337535858154297 0.026057517156004906 2
-1.5083828353005853 -19.440393447875977 0.03515629842877388 2
0.29254415742310597 -19.474334716796875 0.03384925797581673 2
1.2391213465994897 -19.484800338745117 0.04404835402965546 2
2.0291008151379293 -19.478923797607422 0.08714231848716736 2
2.981857313990485 -19.38035774230957 0.043323930352926254 2
3.9035801630656137 -19.300861358642578 0.06098223105072975 2
4.707754619564672 -19.422082901000977 0.04981594905257225 2
5.695104913657827 -19.37957000732422 0.034608423709869385 2
6.6165158510768265 -19.28516960144043 0.037925004959106445 2
7.4688492450809125 -19.344314575195312 0.0295065026730299 2
16.528430389344987 -18.698190689086914 0.040085356682538986 2
37.297376811561726 -18.185251235961914 0.11309655755758286 2
39.124224879070304 -17.9710750579834 0.18687403202056885 2
40.00145199234543 -18.0025634765625 0.2999745309352875 2
40.92966162420782 -17.752553939819336 0.22834062576293945 2
41.841745501016334 -17.77163314819336 0.17137010395526886 2
42.72235012056468 -17.848079681396484 0.089431531727314 2
43.65977672126103 -17.899389266967773 0.10818132758140564 2
45.434502173599824 -17.228904724121094 0.29465213418006897 2
46.32980760863469 -17.18669319152832 0.3154948949813843 2
