t mag mag_unc fid
-14.861481257789936 -16.04395294189453 0.13303816318511963 1
-13.948225079025262 -16.442602157592773 0.09260078519582748 1
-12.96609672511553 -17.160139083862305 0.06434090435504913 1
-12.091524508520548 -17.430036544799805 0.039775386452674866 1
-11.199347417530126 -17.741180419921875 0.03544468805193901 1
-9.271698200996154 -18.31413459777832 0.03717260807752609 1
-8.392436946639137 -18.554405212402344 0.032564159482717514 1
-7.41297026496463 -18.665353775024414 0.023649729788303375 1
-6.534365605050869 -18.80409812927246 0.014669370837509632 1
-5.594919306377285 -18.921165466308594 0.013203073292970657 1
-4.600918634426934 -19.03900909423828 0.0243374016135931 1
-3.7027907981348265 -19.03936004638672 0.017456937581300735 1
-2.7885136995258364 -19.17323112487793 0.021542400121688843 1
-1.8344672510187343 -19.174875259399414 0.01213773898780346 1
-1.0238695576979444 -19.156597137451172 0.01527751237154007 1
-0.11321380725852127 -19.223934173583984 0.01358814537525177 1
0.904039206581252 -19.198455810546875 0.011241503059864044 1
1.672451037697054 -19.18808937072754 0.017486216500401497 1
2.7413090666914117 -19.20245933532715 0.015909189358353615 1
3.65903035082899 -19.182876586914062 0.0319981575012207 1
4.4929971712266825 -19.10466766357422 0.037320565432310104 1
5.386494710522522 -19.112138748168945 0.024689653888344765 1
6.277058154990642 -19.036081314086914 0.029611986130475998 1
7.19227804415739 -18.994787216186523 0.03946812078356743 1
8.112833348474021 -18.900489807128906 0.025020211935043335 1
9.04891685139374 -18.800031661987305 0.016643883660435677 1
10.04247813626464 -18.723081588745117 0.022374901920557022 1
10.912440627438748 -18.631208419799805 0.01635763607919216 1
11.795273431700506 -18.656251907348633 0.04218357056379318 1
18.39386236147673 -18.0374698638916 0.16173596680164337 1
21.02164160528966 -17.65838050842285 0.06391318142414093 1
23.847674953964333 -17.39396095275879 0.09075286239385605 1
26.566230904180347 -17.034406661987305 0.07773137837648392 1
27.589021079634 -16.946359634399414 0.08856136351823807 1
28.48687559036311 -17.128454208374023 0.10022956877946854 1
29.32870369000752 -17.02136993408203 0.09614813327789307 1
36.68220733366288 -16.640361785888672 0.14549358189105988 1
37.62808052145934 -16.370677947998047 0.09933429956436157 1
38.58282546146783 -16.407052993774414 0.10741747915744781 1
39.47492424704519 -16.072412490844727 0.157412588596344 1
40.43220807806798 -16.312572479248047 0.10033994913101196 1
41.392474894487464 -16.234586715698242 0.11958669871091843 1
42.27970821037201 -16.31698226928711 0.10146673023700714 1
43.21796323105734 -16.22403907775879 0.1197405457496643 1
44.131406022723745 -16.188617706298828 0.11527156084775925 1
45.068606272910294 -16.134065628051758 0.13065515458583832 1
45.955651225797084 -16.312593460083008 0.10807561129331589 1
46.906566354738224 -16.197826385498047 0.11205923557281494 1
47.81740083018957 -16.04352378845215 0.13790103793144226 1
48.73992989013294 -16.1086483001709 0.14233654737472534 1
49.659089522944875 -16.225040435791016 0.12145868688821793 1
50.60139488956351 -15.671031951904297 0.2366074025630951 1
51.511569815512566 -16.0423583984375 0.17654836177825928 1
52.42445430936587 -15.649319648742676 0.2311212420463562 1
53.31505931668134 -15.828832626342773 0.21262475848197937 1
54.2292517658866 -15.93271541595459 0.20031824707984924 1
56.098690484581695 -15.978631973266602 0.2600812017917633 1
60.65272687542564 -15.97506332397461 0.3418318033218384 1
62.496238573698314 -16.2421932220459 0.14871840178966522 1
63.44406291536602 -15.750066757202148 0.23226168751716614 1
64.33500502794651 -16.038854598999023 0.14019031822681427 1
73.56462264785756 -15.813328742980957 0.3057669699192047 1
-15.743025672206194 -15.670804977416992 0.23791755735874176 2
-14.801160470630656 -15.738325119018555 0.22930055856704712 2
-13.859017159294927 -16.626493453979492 0.1400911659002304 2
-13.089850692274357 -16.798667907714844 0.16193844377994537 2
-12.089367711923439 -17.40428352355957 0.0504193939268589 2
-11.144411742405422 -17.756689071655273 0.04891665279865265 2
-9.214158809994695 -18.2198486328125 0.0624953992664814 2
-8.418398508905154 -18.41778564453125 0.02336091734468937 2
-7.490149225328269 -18.591514587402344 0.02261083945631981 2
-6.61473814569881 -18.855712890625 0.027604281902313232 2
-5.685031169173187 -18.8513126373291 0.014921864494681358 2
-4.679466476165637 -18.983476638793945 0.016531119123101234 2
-3.831656480885052 -19.031414031982422 0.01752661168575287 2
-2.751522601712701 -19.010669708251953 0.062080010771751404 2
-1.8731635149802008 -19.103052139282227 0.022561879828572273 2
-1.0483932885001122 -19.09287452697754 0.018357882276177406 2
-0.08053626956218832 -19.13576889038086 0.013616911135613918 2
0.8173111252266761 -19.183191299438477 0.015275005251169205 2
1.7263236927294696 -19.169918060302734 0.013613499701023102 2
2.638693111501909 -19.166324615478516 0.022969871759414673 2
3.528339775430375 -19.085716247558594 0.03263690322637558 2
4.4775597636873155 -19.10559844970703 0.021978754550218582 2
5.461047193021736 -19.044401168823242 0.024546507745981216 2
6.3930285975983105 -19.056974411010742 0.026366522535681725 2
7.298449354205019 -18.892826080322266 0.047674622386693954 2
8.236331065319396 -18.898502349853516 0.03162520378828049 2
9.18348476538139 -18.898761749267578 0.021670356392860413 2
9.971886960878912 -18.850658416748047 0.014679699204862118 2
