t mag mag_unc fid
-15.715245258774567 -16.68377685546875 0.0480278879404068 1
-11.976687290752698 -17.865921020507812 0.07264886051416397 1
-8.276664504570725 -18.88312339782715 0.03598834574222565 1
-7.333426581606351 -18.962581634521484 0.02961178496479988 1
-5.410740494670366 -19.09255027770996 0.025900304317474365 1
-4.466060320121119 -19.207015991210938 0.025868011638522148 1
-2.605638684540862 -19.337675094604492 0.0078187370672822 1
-1.6363846848002548 -19.38036346435547 0.01159154623746872 1
-0.6880374274490375 -19.41959571838379 0.009223650209605694 1
0.2636973264302025 -19.410274505615234 0.014110729098320007 1
1.1810390439760188 -19.423053741455078 0.006908136419951916 1
2.12886772560884 -19.383150100708008 0.008947519585490227 1
3.9967353958531096 -19.339656829833984 0.007725452538579702 1
4.945613030897662 -19.281177520751953 0.009819014929234982 1
6.848479393151875 -19.216720581054688 0.020290764048695564 1
8.713886003704848 -19.08675193786621 0.010442237369716167 1
10.592115792599795 -18.954010009765625 0.009997028857469559 1
12.442159874491155 -18.762706756591797 0.024786725640296936 1
17.14105822453021 -18.338397979736328 0.031069649383425713 1
18.068621326658782 -18.21318817138672 0.05237050727009773 1
19.033280981144213 -18.071701049804688 0.03883436694741249 1
19.950552754987303 -18.042081832885742 0.09290274232625961 1
20.938799182319343 -18.053142547607422 0.08024583011865616 1
21.859761766559448 -17.8247127532959 0.05119723826646805 1
23.761037076409934 -17.71096420288086 0.07356991618871689 1
26.567026099797232 -17.42479133605957 0.05214859917759895 1
29.405905034173276 -17.147085189819336 0.08573942631483078 1
38.77610092062096 -16.86838150024414 0.1162443608045578 1
47.284597233818026 -17.057647705078125 0.22685226798057556 1
52.99673817319085 -16.907983779907227 0.3564841151237488 1
55.73242467558075 -16.521093368530273 0.1562798023223877 1
58.55080462827885 -16.473308563232422 0.14800547063350677 1
66.08972263800324 -16.168956756591797 0.3055862784385681 1
83.01851817658337 -16.410335540771484 0.27919697761535645 1
-16.680684998504457 -16.14679527282715 0.07173731923103333 2
-15.769475548903563 -16.69121742248535 0.06122933328151703 2
-11.945137814816132 -17.814373016357422 0.0834241509437561 2
-8.205239430595778 -18.531105041503906 0.06370967626571655 2
-7.232925785623176 -18.735044479370117 0.04130689427256584 2
-5.4654771512153015 -18.962135314941406 0.013288159854710102 2
-4.402906850375865 -19.028976440429688 0.01900055631995201 2
-2.617977866157402 -19.160991668701172 0.010939530096948147 2
-1.564115012180892 -19.196964263916016 0.02121574990451336 2
-0.6881336729339337 -19.226633071899414 0.011148552410304546 2
1.2158879157521765 -19.236085891723633 0.010538763366639614 2
2.141098838281101 -19.25421905517578 0.011943683959543705 2
4.019561142787603 -19.22498893737793 0.008132229559123516 2
4.928096413592217 -19.234094619750977 0.009824616834521294 2
6.808592966515393 -19.172834396362305 0.016127269715070724 2
8.691265513445849 -19.093711853027344 0.011582639999687672 2
9.591925185233825 -19.166667938232422 0.09988480061292648 2
10.650924647879272 -18.982837677001953 0.011659401468932629 2
11.5689193373005 -18.926950454711914 0.014027368277311325 2
12.47372027285584 -18.884443283081055 0.024019518867135048 2
15.300295562200656 -18.679445266723633 0.03274703398346901 2
17.197876404037196 -18.574201583862305 0.02882957272231579 2
18.13168760551603 -18.593076705932617 0.031956616789102554 2
19.086016071495976 -18.65289306640625 0.019496316090226173 2
20.029126849522324 -18.58549690246582 0.02369626984000206 2
20.98759739480158 -18.558837890625 0.024783598259091377 2
21.93256358999644 -18.56026268005371 0.027453603222966194 2
23.719712102282063 -18.49536895751953 0.0285194031894207 2
29.366574422811514 -18.35832405090332 0.04076351225376129 2
34.07374070499421 -18.09211540222168 0.04104727879166603 2
38.83548377972984 -17.794780731201172 0.06356485188007355 2
47.30776345657076 -17.531179428100586 0.06923414021730423 2
52.89349112950257 -17.173553466796875 0.11466917395591736 2
55.71230703444841 -16.98983383178711 0.18615509569644928 2
58.57637120138484 -17.184188842773438 0.12158049643039703 2
68.92641117151787 -16.956628799438477 0.17980308830738068 2
