# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -14.782 -14.704 -14.470 -14.757 -14.866 -14.887
1.75 -15.284 -15.240 -14.975 -15.245 -15.360 -15.375
2.25 -15.680 -15.675 -15.368 -15.604 -15.730 -15.733
2.75 -16.093 -16.055 -15.828 -15.962 -16.102 -16.091
3.25 -16.476 -16.446 -16.164 -16.361 -16.502 -16.490
3.75 -16.798 -16.764 -16.464 -16.689 -16.824 -16.818
4.25 -17.137 -17.052 -16.802 -17.032 -17.168 -17.161
4.75 -17.439 -17.286 -17.024 -17.343 -17.477 -17.472
5.25 -17.706 -17.520 -17.237 -17.637 -17.765 -17.766
5.75 -17.940 -17.687 -17.408 -17.880 -18.008 -18.009
6.25 -18.136 -17.839 -17.576 -18.092 -18.217 -18.222
6.75 -18.305 -17.986 -17.706 -18.278 -18.399 -18.408
7.25 -18.452 -18.136 -17.834 -18.441 -18.559 -18.570
7.75 -18.589 -18.248 -17.932 -18.584 -18.702 -18.713
8.25 -18.701 -18.367 -18.019 -18.697 -18.815 -18.826
8.75 -18.806 -18.473 -18.114 -18.812 -18.927 -18.941
9.25 -18.907 -18.555 -18.174 -18.915 -19.031 -19.045
9.75 -18.980 -18.631 -18.233 -18.991 -19.106 -19.121
10.25 -19.051 -18.714 -18.282 -19.068 -19.182 -19.198
10.75 -19.121 -18.775 -18.318 -19.134 -19.249 -19.264
11.25 -19.183 -18.823 -18.338 -19.194 -19.310 -19.323
11.75 -19.223 -18.871 -18.356 -19.238 -19.353 -19.368
12.25 -19.271 -18.914 -18.361 -19.284 -19.399 -19.413
12.75 -19.309 -18.949 -18.377 -19.318 -19.435 -19.447
13.25 -19.342 -18.974 -18.376 -19.350 -19.468 -19.480
13.75 -19.368 -19.013 -18.376 -19.370 -19.490 -19.500
14.25 -19.395 -19.031 -18.374 -19.390 -19.512 -19.520
14.75 -19.417 -19.056 -18.378 -19.406 -19.530 -19.536
15.25 -19.432 -19.082 -18.378 -19.416 -19.541 -19.546
15.75 -19.442 -19.100 -18.371 -19.422 -19.548 -19.551
16.25 -19.457 -19.107 -18.369 -19.427 -19.556 -19.557
16.75 -19.472 -19.119 -18.370 -19.433 -19.565 -19.562
17.25 -19.477 -19.137 -18.368 -19.427 -19.562 -19.556
17.75 -19.482 -19.141 -18.359 -19.425 -19.562 -19.554
18.25 -19.484 -19.145 -18.375 -19.415 -19.555 -19.544
18.75 -19.483 -19.142 -18.372 -19.398 -19.542 -19.527
19.25 -19.483 -19.149 -18.367 -19.386 -19.534 -19.514
19.75 -19.472 -19.145 -18.371 -19.356 -19.507 -19.484
20.25 -19.456 -19.142 -18.376 -19.323 -19.479 -19.452
20.75 -19.432 -19.135 -18.378 -19.281 -19.441 -19.410
21.25 -19.411 -19.117 -18.382 -19.239 -19.404 -19.367
21.75 -19.378 -19.116 -18.383 -19.180 -19.350 -19.308
22.25 -19.338 -19.102 -18.380 -19.117 -19.292 -19.244
22.75 -19.293 -19.088 -18.376 -19.044 -19.226 -19.171
23.25 -19.243 -19.078 -18.374 -18.971 -19.159 -19.098
23.75 -19.184 -19.064 -18.382 -18.879 -19.075 -19.006
24.25 -19.114 -19.054 -18.387 -18.781 -18.984 -18.908
24.75 -19.044 -19.041 -18.388 -18.683 -18.893 -18.809
25.25 -18.962 -19.031 -18.402 -18.574 -18.792 -18.700
25.75 -18.870 -19.029 -18.430 -18.457 -18.683 -18.583
26.25 -18.772 -19.021 -18.464 -18.328 -18.562 -18.453
26.75 -18.658 -19.011 -18.476 -18.192 -18.433 -18.317
27.25 -18.537 -19.000 -18.511 -18.048 -18.295 -18.173
27.75 -18.412 -18.992 -18.551 -17.899 -18.153 -18.024
28.25 -18.280 -18.982 -18.581 -17.753 -18.012 -17.878
28.75 -18.146 -18.963 -18.616 -17.603 -17.868 -17.728
29.25 -18.009 -18.948 -18.640 -17.455 -17.722 -17.579
29.75 -17.881 -18.927 -18.657 -17.312 -17.583 -17.437
30.25 -17.764 -18.894 -18.671 -17.182 -17.459 -17.306
30.75 -17.654 -18.866 -18.680 -17.068 -17.346 -17.193
31.25 -17.563 -18.837 -18.681 -16.963 -17.246 -17.087
31.75 -17.465 -18.799 -18.682 -16.852 -17.140 -16.976
32.25 -17.381 -18.769 -18.667 -16.756 -17.049 -16.880
32.75 -17.309 -18.734 -18.653 -16.675 -16.972 -16.799
33.25 -17.232 -18.702 -18.636 -16.597 -16.898 -16.721
33.75 -17.176 -18.664 -18.615 -16.515 -16.823 -16.638
34.25 -17.109 -18.633 -18.591 -16.450 -16.757 -16.573
34.75 -17.036 -18.596 -18.570 -16.369 -16.681 -16.492
