# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -14.928 -14.924 -14.554 -14.814 -14.952 -14.942
1.75 -15.669 -15.628 -15.378 -15.578 -15.712 -15.707
2.25 -16.273 -16.238 -15.948 -16.176 -16.313 -16.305
2.75 -16.732 -16.690 -16.376 -16.656 -16.793 -16.785
3.25 -17.087 -17.017 -16.611 -17.006 -17.140 -17.135
3.75 -17.357 -17.243 -16.875 -17.297 -17.427 -17.426
4.25 -17.582 -17.461 -17.073 -17.519 -17.647 -17.648
4.75 -17.775 -17.625 -17.232 -17.719 -17.844 -17.848
5.25 -17.982 -17.767 -17.363 -17.926 -18.050 -18.055
5.75 -18.146 -17.912 -17.532 -18.103 -18.223 -18.233
6.25 -18.311 -18.061 -17.661 -18.267 -18.388 -18.397
6.75 -18.454 -18.176 -17.768 -18.423 -18.542 -18.553
7.25 -18.587 -18.278 -17.871 -18.560 -18.677 -18.689
7.75 -18.707 -18.409 -17.972 -18.688 -18.803 -18.818
8.25 -18.814 -18.476 -18.044 -18.800 -18.914 -18.930
8.75 -18.915 -18.556 -18.129 -18.906 -19.020 -19.036
9.25 -19.002 -18.640 -18.171 -19.003 -19.114 -19.132
9.75 -19.076 -18.703 -18.230 -19.080 -19.190 -19.210
10.25 -19.137 -18.758 -18.268 -19.145 -19.254 -19.275
10.75 -19.202 -18.819 -18.299 -19.216 -19.323 -19.346
11.25 -19.250 -18.851 -18.314 -19.266 -19.372 -19.396
11.75 -19.291 -18.899 -18.325 -19.305 -19.412 -19.435
12.25 -19.328 -18.929 -18.333 -19.342 -19.449 -19.472
12.75 -19.361 -18.973 -18.320 -19.376 -19.483 -19.506
13.25 -19.397 -19.009 -18.327 -19.404 -19.513 -19.534
13.75 -19.419 -19.021 -18.347 -19.419 -19.531 -19.549
14.25 -19.441 -19.055 -18.331 -19.433 -19.547 -19.563
14.75 -19.455 -19.077 -18.330 -19.441 -19.557 -19.571
15.25 -19.468 -19.096 -18.338 -19.440 -19.560 -19.570
15.75 -19.477 -19.118 -18.339 -19.438 -19.561 -19.567
16.25 -19.485 -19.127 -18.331 -19.429 -19.557 -19.558
16.75 -19.485 -19.144 -18.347 -19.412 -19.545 -19.540
17.25 -19.481 -19.148 -18.346 -19.384 -19.523 -19.513
17.75 -19.480 -19.151 -18.351 -19.358 -19.505 -19.486
18.25 -19.466 -19.151 -18.354 -19.319 -19.473 -19.447
18.75 -19.452 -19.160 -18.369 -19.275 -19.437 -19.403
19.25 -19.429 -19.153 -18.367 -19.218 -19.389 -19.345
19.75 -19.400 -19.146 -18.370 -19.159 -19.339 -19.286
20.25 -19.358 -19.137 -18.373 -19.080 -19.270 -19.207
20.75 -19.310 -19.124 -18.375 -18.997 -19.195 -19.123
21.25 -19.252 -19.118 -18.367 -18.892 -19.104 -19.018
21.75 -19.183 -19.100 -18.363 -18.779 -19.002 -18.904
22.25 -19.114 -19.083 -18.370 -18.660 -18.896 -18.785
22.75 -19.031 -19.057 -18.368 -18.537 -18.785 -18.661
23.25 -18.939 -19.038 -18.359 -18.395 -18.657 -18.519
23.75 -18.833 -19.023 -18.371 -18.251 -18.522 -18.374
24.25 -18.718 -19.000 -18.379 -18.102 -18.384 -18.226
24.75 -18.602 -18.984 -18.385 -17.949 -18.242 -18.072
25.25 -18.473 -18.964 -18.390 -17.787 -18.089 -17.910
25.75 -18.337 -18.942 -18.410 -17.621 -17.934 -17.744
26.25 -18.200 -18.927 -18.429 -17.462 -17.783 -17.585
26.75 -18.046 -18.908 -18.459 -17.296 -17.623 -17.418
27.25 -17.906 -18.893 -18.472 -17.133 -17.468 -17.256
27.75 -17.779 -18.881 -18.495 -17.000 -17.336 -17.122
28.25 -17.648 -18.858 -18.520 -16.857 -17.201 -16.979
28.75 -17.524 -18.844 -18.532 -16.729 -17.077 -16.851
29.25 -17.405 -18.828 -18.543 -16.598 -16.952 -16.720
29.75 -17.303 -18.803 -18.565 -16.489 -16.849 -16.611
30.25 -17.208 -18.780 -18.567 -16.386 -16.748 -16.507
30.75 -17.137 -18.762 -18.568 -16.299 -16.668 -16.420
31.25 -17.043 -18.738 -18.563 -16.202 -16.576 -16.323
31.75 -16.978 -18.715 -18.554 -16.113 -16.497 -16.234
32.25 -16.911 -18.688 -18.555 -16.037 -16.426 -16.158
32.75 -16.842 -18.659 -18.530 -15.962 -16.353 -16.083
33.25 -16.801 -18.638 -18.517 -15.905 -16.304 -16.025
33.75 -16.743 -18.593 -18.492 -15.821 -16.230 -15.941
34.25 -16.701 -18.567 -18.458 -15.782 -16.191 -15.902
34.75 -16.661 -18.528 -18.440 -15.720 -16.137 -15.840
