# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -12.106 -13.290 -13.469 -11.376 -11.684 -11.501
1.75 -13.433 -14.592 -14.492 -12.726 -13.027 -12.850
2.25 -14.973 -15.656 -15.417 -14.458 -14.707 -14.583
2.75 -16.064 -16.191 -16.054 -15.841 -16.014 -15.968
3.25 -16.595 -16.608 -16.445 -16.571 -16.690 -16.700
3.75 -16.919 -16.947 -16.800 -16.982 -17.082 -17.112
4.25 -17.283 -17.278 -17.053 -17.336 -17.435 -17.467
4.75 -17.566 -17.510 -17.270 -17.623 -17.724 -17.753
5.25 -17.805 -17.738 -17.408 -17.857 -17.956 -17.987
5.75 -18.014 -17.904 -17.563 -18.072 -18.174 -18.202
6.25 -18.191 -18.021 -17.648 -18.253 -18.355 -18.384
6.75 -18.348 -18.175 -17.745 -18.407 -18.511 -18.537
7.25 -18.497 -18.290 -17.826 -18.544 -18.650 -18.674
7.75 -18.611 -18.389 -17.902 -18.661 -18.766 -18.791
8.25 -18.730 -18.479 -17.957 -18.771 -18.880 -18.901
8.75 -18.826 -18.553 -18.006 -18.863 -18.971 -18.993
9.25 -18.904 -18.631 -18.085 -18.937 -19.048 -19.067
9.75 -18.985 -18.695 -18.128 -19.004 -19.118 -19.134
10.25 -19.050 -18.759 -18.144 -19.061 -19.178 -19.191
10.75 -19.111 -18.820 -18.201 -19.108 -19.229 -19.238
11.25 -19.166 -18.869 -18.220 -19.152 -19.275 -19.282
11.75 -19.207 -18.923 -18.245 -19.182 -19.307 -19.311
12.25 -19.246 -18.965 -18.283 -19.203 -19.332 -19.332
12.75 -19.279 -18.994 -18.292 -19.221 -19.354 -19.351
13.25 -19.300 -19.036 -18.314 -19.222 -19.358 -19.351
13.75 -19.326 -19.062 -18.331 -19.229 -19.370 -19.358
14.25 -19.331 -19.090 -18.338 -19.211 -19.357 -19.340
14.75 -19.335 -19.115 -18.361 -19.188 -19.340 -19.317
15.25 -19.330 -19.137 -18.378 -19.160 -19.317 -19.289
15.75 -19.323 -19.156 -18.389 -19.124 -19.288 -19.252
16.25 -19.304 -19.173 -18.400 -19.076 -19.246 -19.204
16.75 -19.278 -19.183 -18.414 -19.014 -19.193 -19.141
17.25 -19.251 -19.194 -18.424 -18.951 -19.138 -19.078
17.75 -19.217 -19.200 -18.425 -18.876 -19.074 -19.003
18.25 -19.181 -19.194 -18.443 -18.808 -19.013 -18.934
18.75 -19.133 -19.199 -18.462 -18.726 -18.939 -18.852
19.25 -19.091 -19.194 -18.466 -18.652 -18.876 -18.778
19.75 -19.047 -19.187 -18.477 -18.573 -18.806 -18.698
20.25 -18.997 -19.183 -18.485 -18.492 -18.735 -18.617
20.75 -18.948 -19.173 -18.501 -18.418 -18.669 -18.543
21.25 -18.906 -19.152 -18.499 -18.349 -18.607 -18.473
21.75 -18.853 -19.143 -18.495 -18.269 -18.534 -18.393
22.25 -18.813 -19.118 -18.506 -18.208 -18.480 -18.332
22.75 -18.754 -19.098 -18.492 -18.126 -18.404 -18.249
23.25 -18.713 -19.084 -18.496 -18.066 -18.351 -18.190
23.75 -18.668 -19.062 -18.483 -18.007 -18.296 -18.130
24.25 -18.625 -19.038 -18.480 -17.943 -18.238 -18.066
24.75 -18.570 -19.018 -18.460 -17.882 -18.180 -18.005
25.25 -18.522 -18.994 -18.448 -17.814 -18.118 -17.937
25.75 -18.473 -18.970 -18.429 -17.748 -18.058 -17.870
26.25 -18.418 -18.952 -18.418 -17.679 -17.993 -17.801
26.75 -18.372 -18.924 -18.406 -17.626 -17.944 -17.749
27.25 -18.318 -18.911 -18.391 -17.561 -17.884 -17.684
27.75 -18.254 -18.888 -18.381 -17.478 -17.808 -17.600
28.25 -18.195 -18.877 -18.386 -17.406 -17.742 -17.528
28.75 -18.128 -18.864 -18.384 -17.335 -17.674 -17.457
29.25 -18.070 -18.850 -18.401 -17.265 -17.609 -17.386
29.75 -17.999 -18.836 -18.402 -17.181 -17.531 -17.303
30.25 -17.931 -18.824 -18.420 -17.113 -17.465 -17.234
30.75 -17.857 -18.818 -18.428 -17.023 -17.382 -17.144
31.25 -17.800 -18.813 -18.443 -16.960 -17.324 -17.081
31.75 -17.725 -18.809 -18.448 -16.883 -17.251 -17.004
32.25 -17.651 -18.791 -18.461 -16.799 -17.172 -16.920
32.75 -17.576 -18.787 -18.462 -16.735 -17.108 -16.856
33.25 -17.516 -18.777 -18.472 -16.667 -17.045 -16.788
33.75 -17.442 -18.764 -18.476 -16.596 -16.976 -16.716
34.25 -17.383 -18.742 -18.479 -16.541 -16.921 -16.661
34.75 -17.314 -18.730 -18.476 -16.471 -16.854 -16.592
