# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -15.426 -15.303 -15.071 -15.429 -15.532 -15.559
1.75 -16.208 -16.042 -15.839 -16.219 -16.325 -16.349
2.25 -16.736 -16.565 -16.252 -16.772 -16.873 -16.902
2.75 -17.091 -16.903 -16.510 -17.108 -17.214 -17.238
3.25 -17.318 -17.127 -16.754 -17.339 -17.443 -17.469
3.75 -17.453 -17.281 -16.925 -17.451 -17.562 -17.581
4.25 -17.613 -17.420 -17.080 -17.590 -17.706 -17.719
4.75 -17.755 -17.547 -17.248 -17.718 -17.837 -17.848
5.25 -17.908 -17.679 -17.374 -17.865 -17.988 -17.994
5.75 -18.058 -17.811 -17.520 -18.012 -18.138 -18.141
6.25 -18.192 -17.929 -17.635 -18.137 -18.263 -18.266
6.75 -18.333 -18.068 -17.760 -18.288 -18.413 -18.417
7.25 -18.454 -18.176 -17.873 -18.412 -18.536 -18.542
7.75 -18.579 -18.286 -17.967 -18.542 -18.665 -18.672
8.25 -18.680 -18.387 -18.044 -18.662 -18.781 -18.791
8.75 -18.783 -18.474 -18.123 -18.762 -18.882 -18.892
9.25 -18.870 -18.547 -18.168 -18.859 -18.975 -18.988
9.75 -18.949 -18.622 -18.199 -18.944 -19.060 -19.073
10.25 -19.015 -18.679 -18.231 -19.014 -19.127 -19.143
10.75 -19.078 -18.736 -18.258 -19.077 -19.192 -19.207
11.25 -19.125 -18.780 -18.282 -19.131 -19.242 -19.260
11.75 -19.175 -18.816 -18.284 -19.176 -19.290 -19.305
12.25 -19.220 -18.869 -18.298 -19.217 -19.332 -19.347
12.75 -19.246 -18.899 -18.288 -19.244 -19.359 -19.374
13.25 -19.279 -18.935 -18.313 -19.270 -19.387 -19.399
13.75 -19.296 -18.955 -18.301 -19.282 -19.399 -19.411
14.25 -19.316 -18.988 -18.315 -19.292 -19.413 -19.422
14.75 -19.328 -19.013 -18.318 -19.295 -19.419 -19.424
15.25 -19.340 -19.020 -18.327 -19.287 -19.416 -19.416
15.75 -19.336 -19.044 -18.320 -19.270 -19.402 -19.399
16.25 -19.338 -19.051 -18.321 -19.252 -19.389 -19.381
16.75 -19.329 -19.070 -18.336 -19.219 -19.363 -19.348
17.25 -19.319 -19.071 -18.351 -19.184 -19.335 -19.313
17.75 -19.303 -19.087 -18.355 -19.138 -19.297 -19.266
18.25 -19.280 -19.086 -18.373 -19.086 -19.253 -19.214
18.75 -19.249 -19.082 -18.369 -19.027 -19.201 -19.154
19.25 -19.210 -19.084 -18.378 -18.953 -19.136 -19.080
19.75 -19.169 -19.081 -18.387 -18.875 -19.069 -19.002
20.25 -19.122 -19.067 -18.404 -18.796 -18.998 -18.922
20.75 -19.067 -19.058 -18.404 -18.704 -18.915 -18.830
21.25 -19.003 -19.043 -18.395 -18.603 -18.825 -18.729
21.75 -18.935 -19.032 -18.408 -18.499 -18.730 -18.624
22.25 -18.861 -19.008 -18.401 -18.388 -18.629 -18.513
22.75 -18.780 -18.989 -18.409 -18.272 -18.520 -18.396
23.25 -18.695 -18.973 -18.407 -18.150 -18.408 -18.275
23.75 -18.606 -18.951 -18.397 -18.028 -18.295 -18.153
24.25 -18.517 -18.934 -18.397 -17.905 -18.181 -18.029
24.75 -18.422 -18.915 -18.388 -17.784 -18.066 -17.907
25.25 -18.325 -18.902 -18.392 -17.656 -17.949 -17.780
25.75 -18.222 -18.883 -18.414 -17.533 -17.833 -17.657
26.25 -18.127 -18.868 -18.422 -17.412 -17.719 -17.535
26.75 -18.027 -18.862 -18.444 -17.285 -17.601 -17.408
27.25 -17.923 -18.850 -18.469 -17.166 -17.488 -17.289
27.75 -17.821 -18.846 -18.476 -17.054 -17.382 -17.177
28.25 -17.723 -18.837 -18.506 -16.936 -17.271 -17.059
28.75 -17.632 -18.829 -18.533 -16.831 -17.171 -16.953
29.25 -17.539 -18.821 -18.550 -16.734 -17.079 -16.856
29.75 -17.452 -18.813 -18.561 -16.636 -16.987 -16.758
30.25 -17.376 -18.796 -18.582 -16.544 -16.900 -16.666
30.75 -17.293 -18.784 -18.594 -16.458 -16.820 -16.580
31.25 -17.225 -18.770 -18.592 -16.380 -16.747 -16.502
31.75 -17.155 -18.740 -18.589 -16.303 -16.674 -16.425
32.25 -17.087 -18.721 -18.576 -16.235 -16.607 -16.356
32.75 -17.028 -18.688 -18.568 -16.171 -16.549 -16.292
33.25 -16.972 -18.662 -18.558 -16.112 -16.492 -16.233
33.75 -16.910 -18.627 -18.534 -16.047 -16.431 -16.168
34.25 -16.870 -18.594 -18.510 -15.996 -16.384 -16.117
34.75 -16.817 -18.550 -18.495 -15.948 -16.335 -16.068
