# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -15.411 -15.285 -15.071 -15.406 -15.509 -15.536
1.75 -16.212 -16.014 -15.727 -16.226 -16.330 -16.355
2.25 -16.720 -16.518 -16.157 -16.752 -16.842 -16.882
2.75 -17.007 -16.811 -16.435 -17.038 -17.134 -17.168
3.25 -17.209 -17.035 -16.635 -17.229 -17.326 -17.359
3.75 -17.325 -17.177 -16.814 -17.317 -17.419 -17.447
4.25 -17.477 -17.296 -16.989 -17.438 -17.550 -17.568
4.75 -17.627 -17.405 -17.118 -17.550 -17.674 -17.680
5.25 -17.760 -17.538 -17.259 -17.665 -17.796 -17.794
5.75 -17.883 -17.682 -17.391 -17.795 -17.924 -17.924
6.25 -18.024 -17.812 -17.528 -17.916 -18.051 -18.045
6.75 -18.156 -17.949 -17.662 -18.070 -18.202 -18.199
7.25 -18.270 -18.058 -17.766 -18.190 -18.320 -18.319
7.75 -18.389 -18.191 -17.853 -18.311 -18.442 -18.440
8.25 -18.507 -18.271 -17.945 -18.439 -18.568 -18.568
8.75 -18.598 -18.372 -18.018 -18.538 -18.665 -18.667
9.25 -18.685 -18.438 -18.076 -18.634 -18.759 -18.763
9.75 -18.762 -18.517 -18.116 -18.713 -18.838 -18.842
10.25 -18.828 -18.574 -18.172 -18.785 -18.909 -18.915
10.75 -18.893 -18.632 -18.197 -18.846 -18.971 -18.975
11.25 -18.943 -18.681 -18.199 -18.894 -19.021 -19.023
11.75 -18.982 -18.727 -18.235 -18.935 -19.060 -19.064
12.25 -19.020 -18.774 -18.233 -18.964 -19.093 -19.093
12.75 -19.052 -18.807 -18.239 -18.983 -19.115 -19.112
13.25 -19.068 -18.842 -18.249 -18.989 -19.124 -19.118
13.75 -19.087 -18.882 -18.261 -18.990 -19.129 -19.119
14.25 -19.096 -18.903 -18.268 -18.978 -19.122 -19.107
14.75 -19.097 -18.930 -18.274 -18.951 -19.102 -19.079
15.25 -19.091 -18.944 -18.281 -18.921 -19.080 -19.049
15.75 -19.084 -18.964 -18.294 -18.881 -19.048 -19.008
16.25 -19.067 -18.990 -18.281 -18.824 -19.001 -18.951
16.75 -19.043 -19.001 -18.289 -18.765 -18.952 -18.892
17.25 -19.012 -19.004 -18.298 -18.694 -18.892 -18.820
17.75 -18.981 -19.015 -18.299 -18.621 -18.830 -18.747
18.25 -18.936 -19.020 -18.303 -18.538 -18.756 -18.664
18.75 -18.896 -19.015 -18.306 -18.458 -18.689 -18.584
19.25 -18.849 -19.015 -18.318 -18.374 -18.614 -18.499
19.75 -18.797 -19.019 -18.313 -18.284 -18.533 -18.409
20.25 -18.741 -18.998 -18.313 -18.196 -18.454 -18.321
20.75 -18.665 -18.993 -18.320 -18.084 -18.350 -18.209
21.25 -18.601 -18.979 -18.318 -17.988 -18.262 -18.112
21.75 -18.528 -18.960 -18.332 -17.891 -18.172 -18.015
22.25 -18.446 -18.946 -18.325 -17.784 -18.071 -17.908
22.75 -18.367 -18.929 -18.326 -17.673 -17.969 -17.797
23.25 -18.290 -18.909 -18.332 -17.572 -17.873 -17.695
23.75 -18.206 -18.891 -18.328 -17.462 -17.772 -17.586
24.25 -18.123 -18.875 -18.331 -17.355 -17.674 -17.478
24.75 -18.040 -18.855 -18.321 -17.252 -17.578 -17.375
25.25 -17.964 -18.838 -18.338 -17.152 -17.487 -17.275
25.75 -17.884 -18.826 -18.349 -17.052 -17.395 -17.174
26.25 -17.812 -18.824 -18.355 -16.958 -17.310 -17.081
26.75 -17.745 -18.815 -18.366 -16.870 -17.231 -16.992
27.25 -17.663 -18.804 -18.395 -16.781 -17.146 -16.903
27.75 -17.587 -18.806 -18.416 -16.680 -17.056 -16.801
28.25 -17.517 -18.802 -18.435 -16.595 -16.980 -16.717
28.75 -17.456 -18.795 -18.455 -16.517 -16.910 -16.639
29.25 -17.380 -18.796 -18.476 -16.428 -16.828 -16.549
29.75 -17.307 -18.785 -18.492 -16.348 -16.751 -16.469
30.25 -17.246 -18.781 -18.500 -16.283 -16.690 -16.403
30.75 -17.173 -18.773 -18.505 -16.208 -16.619 -16.329
31.25 -17.121 -18.750 -18.513 -16.163 -16.575 -16.283
31.75 -17.057 -18.733 -18.511 -16.086 -16.506 -16.206
32.25 -16.998 -18.716 -18.497 -16.042 -16.459 -16.163
32.75 -16.936 -18.687 -18.496 -15.968 -16.390 -16.088
33.25 -16.873 -18.659 -18.474 -15.910 -16.333 -16.030
33.75 -16.838 -18.625 -18.460 -15.889 -16.309 -16.009
34.25 -16.779 -18.594 -18.435 -15.810 -16.236 -15.930
34.75 -16.723 -18.551 -18.412 -15.768 -16.195 -15.888
