# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -11.082 -13.065 -13.390 -10.419 -10.753 -10.543
1.75 -13.161 -14.598 -14.463 -12.536 -12.815 -12.661
2.25 -14.866 -15.590 -15.310 -14.337 -14.591 -14.461
2.75 -16.069 -16.169 -15.831 -15.845 -16.020 -15.972
3.25 -16.635 -16.601 -16.406 -16.623 -16.742 -16.753
3.75 -17.017 -16.985 -16.718 -17.038 -17.146 -17.168
4.25 -17.344 -17.319 -17.049 -17.394 -17.500 -17.524
4.75 -17.660 -17.583 -17.285 -17.695 -17.803 -17.824
5.25 -17.889 -17.806 -17.479 -17.930 -18.040 -18.060
5.75 -18.098 -17.967 -17.644 -18.144 -18.253 -18.274
6.25 -18.291 -18.126 -17.762 -18.330 -18.440 -18.460
6.75 -18.452 -18.268 -17.841 -18.494 -18.602 -18.624
7.25 -18.588 -18.377 -17.928 -18.630 -18.740 -18.760
7.75 -18.707 -18.487 -17.995 -18.749 -18.859 -18.879
8.25 -18.822 -18.577 -18.066 -18.859 -18.971 -18.989
8.75 -18.919 -18.660 -18.112 -18.955 -19.066 -19.085
9.25 -19.008 -18.733 -18.151 -19.037 -19.152 -19.167
9.75 -19.077 -18.801 -18.208 -19.102 -19.217 -19.232
10.25 -19.151 -18.856 -18.241 -19.168 -19.286 -19.298
10.75 -19.215 -18.894 -18.266 -19.228 -19.347 -19.358
11.25 -19.254 -18.945 -18.258 -19.267 -19.386 -19.397
11.75 -19.302 -18.998 -18.289 -19.310 -19.430 -19.440
12.25 -19.349 -19.034 -18.307 -19.346 -19.470 -19.476
12.75 -19.383 -19.067 -18.348 -19.376 -19.500 -19.505
13.25 -19.420 -19.101 -18.345 -19.404 -19.532 -19.533
13.75 -19.448 -19.124 -18.381 -19.424 -19.553 -19.553
14.25 -19.472 -19.152 -18.384 -19.441 -19.573 -19.570
14.75 -19.490 -19.168 -18.390 -19.448 -19.582 -19.577
15.25 -19.508 -19.194 -18.402 -19.458 -19.595 -19.587
15.75 -19.517 -19.204 -18.428 -19.457 -19.596 -19.586
16.25 -19.528 -19.215 -18.437 -19.456 -19.598 -19.585
16.75 -19.528 -19.221 -18.431 -19.448 -19.592 -19.577
17.25 -19.524 -19.229 -18.460 -19.431 -19.577 -19.560
17.75 -19.521 -19.227 -18.455 -19.412 -19.563 -19.541
18.25 -19.511 -19.231 -18.462 -19.385 -19.539 -19.513
18.75 -19.503 -19.228 -18.470 -19.360 -19.518 -19.488
19.25 -19.479 -19.224 -18.477 -19.316 -19.479 -19.444
19.75 -19.452 -19.218 -18.468 -19.266 -19.434 -19.394
20.25 -19.422 -19.213 -18.472 -19.215 -19.388 -19.343
20.75 -19.384 -19.197 -18.467 -19.154 -19.331 -19.281
21.25 -19.340 -19.186 -18.463 -19.088 -19.271 -19.215
21.75 -19.294 -19.171 -18.467 -19.014 -19.203 -19.141
22.25 -19.249 -19.159 -18.454 -18.940 -19.136 -19.067
22.75 -19.193 -19.130 -18.446 -18.857 -19.059 -18.984
23.25 -19.137 -19.119 -18.448 -18.776 -18.984 -18.902
23.75 -19.077 -19.093 -18.422 -18.688 -18.903 -18.814
24.25 -19.028 -19.071 -18.408 -18.605 -18.829 -18.731
24.75 -18.959 -19.058 -18.399 -18.510 -18.741 -18.635
25.25 -18.901 -19.035 -18.387 -18.428 -18.666 -18.552
25.75 -18.830 -19.008 -18.371 -18.329 -18.573 -18.453
26.25 -18.770 -18.996 -18.367 -18.251 -18.502 -18.376
26.75 -18.703 -18.971 -18.352 -18.159 -18.417 -18.283
27.25 -18.634 -18.954 -18.350 -18.072 -18.336 -18.196
27.75 -18.568 -18.938 -18.361 -17.982 -18.253 -18.106
28.25 -18.499 -18.926 -18.352 -17.902 -18.179 -18.025
28.75 -18.424 -18.905 -18.372 -17.814 -18.095 -17.938
29.25 -18.349 -18.902 -18.383 -17.722 -18.009 -17.846
29.75 -18.282 -18.888 -18.401 -17.640 -17.934 -17.764
30.25 -18.201 -18.886 -18.430 -17.548 -17.847 -17.671
30.75 -18.127 -18.877 -18.448 -17.466 -17.768 -17.589
31.25 -18.047 -18.875 -18.465 -17.378 -17.685 -17.501
31.75 -17.975 -18.863 -18.479 -17.291 -17.602 -17.414
32.25 -17.900 -18.849 -18.501 -17.218 -17.532 -17.341
32.75 -17.837 -18.844 -18.517 -17.139 -17.460 -17.262
33.25 -17.765 -18.830 -18.516 -17.068 -17.389 -17.190
33.75 -17.700 -18.819 -18.528 -16.997 -17.323 -17.119
34.25 -17.633 -18.795 -18.533 -16.919 -17.249 -17.041
34.75 -17.561 -18.779 -18.532 -16.853 -17.184 -16.975
