# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -13.407 -13.792 -13.808 -13.267 -13.414 -13.396
1.75 -14.638 -14.949 -14.663 -14.551 -14.681 -14.680
2.25 -15.574 -15.652 -15.370 -15.464 -15.598 -15.593
2.75 -16.327 -16.195 -15.948 -16.286 -16.410 -16.416
3.25 -16.779 -16.558 -16.346 -16.784 -16.894 -16.914
3.75 -17.099 -16.940 -16.708 -17.114 -17.220 -17.244
4.25 -17.427 -17.252 -17.046 -17.434 -17.540 -17.564
4.75 -17.696 -17.554 -17.276 -17.718 -17.824 -17.848
5.25 -17.950 -17.815 -17.487 -17.970 -18.076 -18.101
5.75 -18.170 -17.991 -17.699 -18.192 -18.299 -18.322
6.25 -18.343 -18.172 -17.826 -18.371 -18.477 -18.501
6.75 -18.531 -18.324 -17.971 -18.551 -18.660 -18.681
7.25 -18.662 -18.459 -18.041 -18.695 -18.801 -18.825
7.75 -18.789 -18.574 -18.136 -18.818 -18.925 -18.948
8.25 -18.901 -18.667 -18.190 -18.927 -19.035 -19.057
8.75 -19.013 -18.737 -18.234 -19.039 -19.147 -19.169
9.25 -19.107 -18.824 -18.279 -19.133 -19.241 -19.263
9.75 -19.180 -18.893 -18.331 -19.211 -19.319 -19.341
10.25 -19.242 -18.946 -18.341 -19.270 -19.379 -19.400
10.75 -19.309 -18.994 -18.352 -19.334 -19.443 -19.464
11.25 -19.356 -19.032 -18.367 -19.377 -19.488 -19.507
11.75 -19.402 -19.073 -18.381 -19.427 -19.536 -19.557
12.25 -19.439 -19.121 -18.379 -19.461 -19.571 -19.591
12.75 -19.477 -19.154 -18.381 -19.497 -19.608 -19.627
13.25 -19.507 -19.182 -18.408 -19.520 -19.632 -19.650
13.75 -19.533 -19.213 -18.401 -19.537 -19.653 -19.667
14.25 -19.555 -19.232 -18.411 -19.557 -19.673 -19.687
14.75 -19.575 -19.250 -18.406 -19.571 -19.689 -19.701
15.25 -19.588 -19.263 -18.420 -19.577 -19.698 -19.707
15.75 -19.605 -19.284 -18.402 -19.587 -19.709 -19.717
16.25 -19.614 -19.290 -18.414 -19.596 -19.718 -19.726
16.75 -19.627 -19.293 -18.402 -19.595 -19.721 -19.725
17.25 -19.628 -19.305 -18.410 -19.591 -19.719 -19.720
17.75 -19.633 -19.314 -18.401 -19.588 -19.718 -19.717
18.25 -19.641 -19.309 -18.406 -19.590 -19.722 -19.719
18.75 -19.642 -19.309 -18.403 -19.585 -19.719 -19.715
19.25 -19.636 -19.300 -18.417 -19.571 -19.708 -19.700
19.75 -19.635 -19.290 -18.422 -19.563 -19.702 -19.692
20.25 -19.626 -19.277 -18.427 -19.543 -19.685 -19.672
20.75 -19.617 -19.269 -18.434 -19.525 -19.670 -19.654
21.25 -19.604 -19.250 -18.436 -19.504 -19.651 -19.633
21.75 -19.586 -19.235 -18.431 -19.475 -19.625 -19.604
22.25 -19.567 -19.208 -18.441 -19.444 -19.598 -19.572
22.75 -19.533 -19.193 -18.448 -19.396 -19.553 -19.524
23.25 -19.500 -19.168 -18.442 -19.350 -19.511 -19.479
23.75 -19.461 -19.141 -18.434 -19.295 -19.460 -19.423
24.25 -19.414 -19.122 -18.433 -19.233 -19.402 -19.361
24.75 -19.371 -19.101 -18.432 -19.168 -19.341 -19.296
25.25 -19.314 -19.075 -18.422 -19.097 -19.274 -19.225
25.75 -19.248 -19.049 -18.410 -19.012 -19.193 -19.139
26.25 -19.189 -19.028 -18.420 -18.930 -19.118 -19.057
26.75 -19.120 -19.003 -18.418 -18.839 -19.032 -18.966
27.25 -19.053 -18.995 -18.417 -18.744 -18.943 -18.871
27.75 -18.974 -18.968 -18.432 -18.646 -18.851 -18.773
28.25 -18.898 -18.967 -18.445 -18.552 -18.762 -18.678
28.75 -18.822 -18.948 -18.464 -18.450 -18.667 -18.576
29.25 -18.743 -18.941 -18.485 -18.345 -18.569 -18.471
29.75 -18.656 -18.928 -18.506 -18.237 -18.468 -18.363
30.25 -18.572 -18.930 -18.545 -18.135 -18.371 -18.260
30.75 -18.496 -18.925 -18.568 -18.029 -18.276 -18.155
31.25 -18.407 -18.918 -18.607 -17.926 -18.177 -18.051
31.75 -18.320 -18.904 -18.625 -17.829 -18.084 -17.954
32.25 -18.241 -18.899 -18.648 -17.735 -17.995 -17.859
32.75 -18.154 -18.895 -18.663 -17.634 -17.901 -17.758
33.25 -18.079 -18.873 -18.671 -17.555 -17.823 -17.679
33.75 -17.997 -18.855 -18.685 -17.457 -17.731 -17.581
34.25 -17.926 -18.838 -18.685 -17.378 -17.655 -17.502
34.75 -17.849 -18.816 -18.690 -17.300 -17.580 -17.425
