# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -15.401 -15.237 -14.968 -15.413 -15.509 -15.544
1.75 -16.206 -16.028 -15.811 -16.199 -16.311 -16.328
2.25 -16.704 -16.577 -16.280 -16.724 -16.829 -16.854
2.75 -17.092 -16.896 -16.541 -17.105 -17.215 -17.235
3.25 -17.336 -17.152 -16.744 -17.352 -17.460 -17.482
3.75 -17.492 -17.329 -16.964 -17.503 -17.614 -17.632
4.25 -17.654 -17.477 -17.118 -17.644 -17.758 -17.773
4.75 -17.795 -17.602 -17.268 -17.782 -17.900 -17.912
5.25 -17.960 -17.722 -17.401 -17.930 -18.050 -18.060
5.75 -18.107 -17.853 -17.549 -18.072 -18.195 -18.201
6.25 -18.251 -17.973 -17.676 -18.218 -18.340 -18.348
6.75 -18.388 -18.113 -17.799 -18.358 -18.479 -18.488
7.25 -18.520 -18.219 -17.906 -18.487 -18.609 -18.617
7.75 -18.636 -18.326 -17.980 -18.617 -18.736 -18.747
8.25 -18.744 -18.421 -18.060 -18.729 -18.846 -18.859
8.75 -18.842 -18.508 -18.139 -18.833 -18.950 -18.963
9.25 -18.930 -18.586 -18.198 -18.931 -19.044 -19.061
9.75 -19.008 -18.656 -18.228 -19.009 -19.123 -19.139
10.25 -19.075 -18.711 -18.252 -19.083 -19.196 -19.213
10.75 -19.131 -18.771 -18.283 -19.143 -19.253 -19.272
11.25 -19.186 -18.821 -18.302 -19.195 -19.306 -19.324
11.75 -19.234 -18.862 -18.300 -19.246 -19.357 -19.376
12.25 -19.265 -18.896 -18.314 -19.279 -19.389 -19.409
12.75 -19.304 -18.933 -18.322 -19.315 -19.426 -19.445
13.25 -19.333 -18.970 -18.317 -19.339 -19.452 -19.469
13.75 -19.349 -18.992 -18.329 -19.351 -19.465 -19.481
14.25 -19.378 -19.010 -18.344 -19.374 -19.490 -19.504
14.75 -19.395 -19.033 -18.341 -19.378 -19.498 -19.508
15.25 -19.409 -19.058 -18.330 -19.382 -19.506 -19.512
15.75 -19.414 -19.069 -18.338 -19.373 -19.500 -19.503
16.25 -19.415 -19.082 -18.349 -19.362 -19.492 -19.491
16.75 -19.419 -19.092 -18.344 -19.347 -19.483 -19.476
17.25 -19.409 -19.101 -18.351 -19.324 -19.464 -19.453
17.75 -19.396 -19.108 -18.368 -19.286 -19.433 -19.414
18.25 -19.379 -19.108 -18.383 -19.242 -19.396 -19.371
18.75 -19.359 -19.103 -18.381 -19.193 -19.354 -19.321
19.25 -19.327 -19.104 -18.403 -19.134 -19.302 -19.261
19.75 -19.288 -19.106 -18.410 -19.065 -19.242 -19.193
20.25 -19.248 -19.088 -18.410 -18.989 -19.174 -19.116
20.75 -19.194 -19.083 -18.415 -18.897 -19.092 -19.024
21.25 -19.137 -19.068 -18.419 -18.799 -19.005 -18.925
21.75 -19.076 -19.050 -18.418 -18.695 -18.912 -18.821
22.25 -18.999 -19.034 -18.420 -18.576 -18.803 -18.702
22.75 -18.923 -19.015 -18.422 -18.463 -18.699 -18.589
23.25 -18.846 -18.996 -18.408 -18.344 -18.591 -18.469
23.75 -18.756 -18.982 -18.401 -18.216 -18.473 -18.341
24.25 -18.666 -18.962 -18.391 -18.093 -18.358 -18.217
24.75 -18.569 -18.946 -18.405 -17.961 -18.236 -18.085
25.25 -18.466 -18.931 -18.398 -17.817 -18.103 -17.941
25.75 -18.355 -18.921 -18.404 -17.685 -17.978 -17.808
26.25 -18.244 -18.905 -18.430 -17.548 -17.849 -17.671
26.75 -18.134 -18.894 -18.442 -17.419 -17.727 -17.542
27.25 -18.022 -18.881 -18.469 -17.288 -17.602 -17.411
27.75 -17.909 -18.874 -18.493 -17.156 -17.477 -17.279
28.25 -17.803 -18.861 -18.507 -17.043 -17.366 -17.166
28.75 -17.702 -18.847 -18.533 -16.930 -17.259 -17.052
29.25 -17.593 -18.836 -18.557 -16.806 -17.142 -16.928
29.75 -17.513 -18.829 -18.571 -16.722 -17.061 -16.845
30.25 -17.412 -18.811 -18.584 -16.611 -16.956 -16.734
30.75 -17.332 -18.784 -18.595 -16.519 -16.868 -16.641
31.25 -17.257 -18.763 -18.596 -16.432 -16.789 -16.554
31.75 -17.182 -18.742 -18.588 -16.352 -16.712 -16.474
32.25 -17.110 -18.720 -18.578 -16.268 -16.635 -16.390
32.75 -17.055 -18.691 -18.575 -16.213 -16.581 -16.334
33.25 -16.995 -18.656 -18.557 -16.146 -16.519 -16.268
33.75 -16.925 -18.625 -18.533 -16.078 -16.451 -16.199
34.25 -16.889 -18.587 -18.510 -16.036 -16.413 -16.157
34.75 -16.845 -18.551 -18.492 -15.978 -16.364 -16.099
