# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -12.985 -13.570 -13.604 -12.697 -12.901 -12.824
1.75 -14.305 -14.753 -14.597 -14.128 -14.265 -14.257
2.25 -15.459 -15.689 -15.382 -15.300 -15.450 -15.429
2.75 -16.299 -16.181 -15.985 -16.214 -16.349 -16.343
3.25 -16.734 -16.609 -16.409 -16.744 -16.853 -16.873
3.75 -17.078 -16.978 -16.745 -17.094 -17.203 -17.224
4.25 -17.419 -17.296 -17.087 -17.433 -17.541 -17.563
4.75 -17.685 -17.562 -17.313 -17.708 -17.815 -17.838
5.25 -17.954 -17.828 -17.553 -17.974 -18.083 -18.103
5.75 -18.160 -18.020 -17.701 -18.184 -18.292 -18.314
6.25 -18.352 -18.190 -17.830 -18.380 -18.488 -18.510
6.75 -18.520 -18.339 -17.958 -18.541 -18.651 -18.671
7.25 -18.664 -18.460 -18.052 -18.686 -18.797 -18.816
7.75 -18.791 -18.569 -18.129 -18.819 -18.929 -18.949
8.25 -18.905 -18.670 -18.182 -18.932 -19.042 -19.062
8.75 -18.999 -18.753 -18.226 -19.026 -19.136 -19.156
9.25 -19.085 -18.820 -18.269 -19.110 -19.221 -19.240
9.75 -19.163 -18.882 -18.301 -19.189 -19.301 -19.319
10.25 -19.228 -18.947 -18.318 -19.253 -19.364 -19.383
10.75 -19.294 -18.992 -18.342 -19.316 -19.427 -19.446
11.25 -19.340 -19.036 -18.338 -19.360 -19.473 -19.490
11.75 -19.394 -19.075 -18.357 -19.409 -19.523 -19.539
12.25 -19.432 -19.102 -18.362 -19.443 -19.558 -19.573
12.75 -19.465 -19.141 -18.365 -19.474 -19.589 -19.604
13.25 -19.496 -19.175 -18.386 -19.501 -19.618 -19.631
13.75 -19.525 -19.194 -18.382 -19.522 -19.642 -19.652
14.25 -19.543 -19.223 -18.385 -19.538 -19.658 -19.668
14.75 -19.566 -19.236 -18.405 -19.553 -19.676 -19.683
15.25 -19.578 -19.261 -18.412 -19.559 -19.684 -19.689
15.75 -19.594 -19.270 -18.397 -19.569 -19.696 -19.699
16.25 -19.604 -19.274 -18.406 -19.571 -19.700 -19.701
16.75 -19.613 -19.284 -18.421 -19.574 -19.705 -19.704
17.25 -19.622 -19.285 -18.412 -19.580 -19.712 -19.709
17.75 -19.627 -19.289 -18.412 -19.575 -19.710 -19.705
18.25 -19.632 -19.292 -18.413 -19.571 -19.709 -19.701
18.75 -19.633 -19.281 -18.426 -19.565 -19.705 -19.694
19.25 -19.631 -19.273 -18.432 -19.552 -19.695 -19.681
19.75 -19.623 -19.268 -18.429 -19.540 -19.684 -19.669
20.25 -19.613 -19.262 -18.459 -19.517 -19.665 -19.646
20.75 -19.602 -19.250 -18.460 -19.499 -19.650 -19.628
21.25 -19.581 -19.236 -18.474 -19.468 -19.621 -19.596
21.75 -19.560 -19.215 -18.470 -19.435 -19.591 -19.563
22.25 -19.531 -19.194 -18.471 -19.392 -19.552 -19.521
22.75 -19.501 -19.183 -18.474 -19.346 -19.509 -19.475
23.25 -19.461 -19.158 -18.483 -19.292 -19.459 -19.420
23.75 -19.416 -19.135 -18.461 -19.230 -19.400 -19.358
24.25 -19.364 -19.112 -18.458 -19.161 -19.336 -19.289
24.75 -19.309 -19.090 -18.456 -19.086 -19.265 -19.214
25.25 -19.249 -19.073 -18.438 -19.004 -19.188 -19.131
25.75 -19.187 -19.048 -18.432 -18.920 -19.109 -19.047
26.25 -19.120 -19.028 -18.419 -18.826 -19.021 -18.953
26.75 -19.056 -18.999 -18.420 -18.739 -18.939 -18.865
27.25 -18.978 -18.984 -18.430 -18.639 -18.845 -18.765
27.75 -18.907 -18.977 -18.421 -18.538 -18.752 -18.664
28.25 -18.825 -18.957 -18.440 -18.437 -18.657 -18.563
28.75 -18.753 -18.949 -18.463 -18.336 -18.564 -18.462
29.25 -18.673 -18.939 -18.470 -18.235 -18.470 -18.361
29.75 -18.587 -18.938 -18.506 -18.128 -18.369 -18.253
30.25 -18.504 -18.930 -18.526 -18.027 -18.275 -18.152
30.75 -18.428 -18.921 -18.564 -17.931 -18.186 -18.056
31.25 -18.345 -18.914 -18.579 -17.828 -18.089 -17.952
31.75 -18.259 -18.910 -18.612 -17.734 -17.999 -17.858
32.25 -18.175 -18.898 -18.627 -17.636 -17.907 -17.761
32.75 -18.093 -18.885 -18.638 -17.548 -17.822 -17.673
33.25 -18.020 -18.878 -18.652 -17.460 -17.739 -17.584
33.75 -17.930 -18.862 -18.661 -17.364 -17.647 -17.488
34.25 -17.864 -18.830 -18.665 -17.295 -17.579 -17.419
34.75 -17.794 -18.820 -18.660 -17.217 -17.505 -17.341
