# Time ZTFg ZTFr ZTFi B B(intrinsic) B(unreddened)
1.25 -14.997 -14.995 -14.766 -14.882 -15.006 -15.011
1.75 -15.412 -15.412 -15.175 -15.246 -15.384 -15.375
2.25 -15.632 -15.723 -15.436 -15.310 -15.500 -15.436
2.75 -15.616 -15.831 -15.559 -15.204 -15.412 -15.329
3.25 -15.532 -16.020 -15.827 -14.980 -15.232 -15.105
3.75 -15.461 -16.295 -16.126 -14.798 -15.080 -14.922
4.25 -15.550 -16.625 -16.437 -14.859 -15.152 -14.983
4.75 -15.899 -16.907 -16.695 -15.216 -15.505 -15.340
5.25 -16.442 -17.143 -16.912 -15.797 -16.079 -15.921
5.75 -16.960 -17.375 -17.123 -16.426 -16.680 -16.550
6.25 -17.341 -17.557 -17.307 -16.915 -17.144 -17.040
6.75 -17.610 -17.739 -17.471 -17.260 -17.467 -17.385
7.25 -17.824 -17.891 -17.626 -17.537 -17.725 -17.663
7.75 -18.019 -18.032 -17.715 -17.776 -17.953 -17.903
8.25 -18.166 -18.132 -17.825 -17.962 -18.129 -18.089
8.75 -18.296 -18.245 -17.914 -18.119 -18.277 -18.247
9.25 -18.407 -18.346 -17.974 -18.250 -18.403 -18.378
9.75 -18.503 -18.415 -18.036 -18.352 -18.504 -18.480
10.25 -18.591 -18.498 -18.086 -18.447 -18.598 -18.575
10.75 -18.660 -18.564 -18.112 -18.518 -18.668 -18.646
11.25 -18.728 -18.617 -18.140 -18.578 -18.730 -18.705
11.75 -18.776 -18.672 -18.165 -18.618 -18.773 -18.746
12.25 -18.811 -18.712 -18.189 -18.643 -18.802 -18.771
12.75 -18.857 -18.756 -18.210 -18.672 -18.835 -18.799
13.25 -18.881 -18.801 -18.228 -18.669 -18.840 -18.796
13.75 -18.897 -18.831 -18.238 -18.657 -18.836 -18.784
14.25 -18.915 -18.862 -18.249 -18.653 -18.838 -18.779
14.75 -18.924 -18.890 -18.255 -18.636 -18.828 -18.762
15.25 -18.921 -18.907 -18.262 -18.604 -18.807 -18.730
15.75 -18.912 -18.930 -18.269 -18.564 -18.775 -18.689
16.25 -18.901 -18.941 -18.263 -18.521 -18.742 -18.646
16.75 -18.877 -18.960 -18.279 -18.456 -18.688 -18.580
17.25 -18.837 -18.972 -18.286 -18.384 -18.626 -18.509
17.75 -18.790 -18.977 -18.290 -18.296 -18.549 -18.421
18.25 -18.735 -18.977 -18.311 -18.198 -18.462 -18.322
18.75 -18.661 -18.981 -18.304 -18.085 -18.359 -18.209
19.25 -18.591 -18.975 -18.320 -17.971 -18.257 -18.094
19.75 -18.511 -18.971 -18.326 -17.851 -18.146 -17.974
20.25 -18.424 -18.953 -18.332 -17.725 -18.030 -17.848
20.75 -18.326 -18.949 -18.336 -17.591 -17.905 -17.713
21.25 -18.228 -18.937 -18.352 -17.455 -17.779 -17.578
21.75 -18.123 -18.914 -18.336 -17.331 -17.660 -17.453
22.25 -18.003 -18.891 -18.344 -17.179 -17.520 -17.301
22.75 -17.902 -18.866 -18.344 -17.060 -17.407 -17.182
23.25 -17.778 -18.843 -18.333 -16.918 -17.274 -17.040
23.75 -17.670 -18.822 -18.339 -16.789 -17.153 -16.911
24.25 -17.568 -18.797 -18.338 -16.672 -17.047 -16.793
24.75 -17.451 -18.780 -18.336 -16.541 -16.926 -16.662
25.25 -17.343 -18.770 -18.331 -16.415 -16.809 -16.536
25.75 -17.247 -18.745 -18.329 -16.309 -16.710 -16.430
26.25 -17.147 -18.735 -18.336 -16.198 -16.609 -16.319
26.75 -17.059 -18.723 -18.337 -16.084 -16.508 -16.205
27.25 -16.983 -18.718 -18.355 -15.996 -16.428 -16.117
27.75 -16.928 -18.716 -18.362 -15.911 -16.359 -16.032
28.25 -16.858 -18.709 -18.379 -15.829 -16.286 -15.949
28.75 -16.808 -18.721 -18.405 -15.732 -16.205 -15.852
29.25 -16.767 -18.711 -18.407 -15.687 -16.162 -15.807
29.75 -16.711 -18.706 -18.436 -15.618 -16.102 -15.738
30.25 -16.651 -18.711 -18.447 -15.542 -16.032 -15.661
30.75 -16.613 -18.703 -18.453 -15.496 -15.992 -15.615
31.25 -16.556 -18.699 -18.461 -15.427 -15.932 -15.547
31.75 -16.524 -18.693 -18.460 -15.401 -15.903 -15.520
32.25 -16.479 -18.679 -18.450 -15.347 -15.854 -15.466
32.75 -16.445 -18.662 -18.454 -15.320 -15.823 -15.439
33.25 -16.406 -18.640 -18.431 -15.272 -15.780 -15.391
33.75 -16.359 -18.626 -18.419 -15.231 -15.738 -15.349
34.25 -16.325 -18.594 -18.397 -15.198 -15.705 -15.317
34.75 -16.299 -18.569 -18.366 -15.187 -15.688 -15.305
