# Time ZTFg ZTFr ZTFi B
1.12 -15.766 -15.466 -15.226 -15.838
1.38 -15.726 -15.530 -15.441 -15.729
1.62 -15.896 -15.764 -15.542 -15.833
1.88 -15.897 -15.877 -15.604 -15.761
2.12 -15.717 -15.755 -15.521 -15.475
2.38 -15.306 -15.719 -15.519 -14.937
2.62 -14.828 -15.702 -15.575 -14.375
2.88 -14.478 -15.671 -15.743 -13.993
3.12 -14.375 -15.732 -15.877 -13.874
3.38 -14.479 -15.854 -16.015 -13.914
3.62 -14.660 -16.021 -16.151 -14.112
3.88 -14.908 -16.243 -16.303 -14.328
4.12 -15.201 -16.442 -16.455 -14.631
4.38 -15.519 -16.633 -16.569 -14.959
4.62 -15.837 -16.808 -16.678 -15.289
4.88 -16.170 -16.962 -16.768 -15.648
5.12 -16.437 -17.097 -16.853 -15.942
5.38 -16.711 -17.189 -16.951 -16.265
5.62 -16.925 -17.273 -17.018 -16.549
5.88 -17.111 -17.351 -17.087 -16.800
6.12 -17.277 -17.408 -17.162 -17.025
6.38 -17.436 -17.498 -17.227 -17.242
6.62 -17.569 -17.560 -17.296 -17.424
6.88 -17.681 -17.625 -17.379 -17.573
7.12 -17.783 -17.692 -17.430 -17.715
7.38 -17.874 -17.759 -17.483 -17.829
7.62 -17.942 -17.825 -17.550 -17.926
7.88 -18.009 -17.890 -17.602 -18.012
8.12 -18.064 -17.945 -17.659 -18.077
8.38 -18.116 -18.004 -17.709 -18.140
8.62 -18.167 -18.057 -17.761 -18.196
8.88 -18.213 -18.108 -17.805 -18.247
9.12 -18.255 -18.153 -17.860 -18.292
9.38 -18.298 -18.203 -17.902 -18.338
9.62 -18.341 -18.248 -17.944 -18.381
9.88 -18.382 -18.293 -17.984 -18.424
10.12 -18.416 -18.334 -18.019 -18.457
10.38 -18.458 -18.372 -18.054 -18.496
10.62 -18.495 -18.418 -18.081 -18.535
10.88 -18.529 -18.447 -18.119 -18.565
11.12 -18.570 -18.493 -18.160 -18.603
11.38 -18.604 -18.519 -18.184 -18.632
11.62 -18.637 -18.538 -18.202 -18.663
11.88 -18.664 -18.571 -18.217 -18.681
12.12 -18.692 -18.591 -18.244 -18.711
12.38 -18.724 -18.620 -18.257 -18.741
12.62 -18.752 -18.646 -18.279 -18.763
12.88 -18.777 -18.656 -18.284 -18.786
13.12 -18.800 -18.678 -18.307 -18.804
13.38 -18.827 -18.699 -18.319 -18.828
13.62 -18.851 -18.714 -18.320 -18.847
13.88 -18.869 -18.731 -18.320 -18.863
14.12 -18.887 -18.751 -18.334 -18.877
14.38 -18.900 -18.757 -18.338 -18.887
14.62 -18.923 -18.775 -18.346 -18.906
14.88 -18.938 -18.785 -18.345 -18.914
15.12 -18.951 -18.794 -18.343 -18.924
15.38 -18.972 -18.805 -18.337 -18.936
15.62 -18.980 -18.812 -18.334 -18.943
15.88 -18.990 -18.817 -18.338 -18.948
16.12 -19.000 -18.824 -18.330 -18.951
16.38 -19.009 -18.838 -18.328 -18.951
16.62 -19.017 -18.839 -18.324 -18.955
16.88 -19.022 -18.852 -18.324 -18.946
17.12 -19.025 -18.852 -18.309 -18.938
17.38 -19.029 -18.859 -18.311 -18.928
17.62 -19.029 -18.866 -18.306 -18.918
17.88 -19.031 -18.872 -18.289 -18.897
18.12 -19.028 -18.885 -18.300 -18.880
18.38 -19.015 -18.882 -18.285 -18.850
18.62 -19.008 -18.887 -18.286 -18.824
18.88 -19.002 -18.891 -18.281 -18.795
19.12 -18.993 -18.901 -18.273 -18.761
19.38 -18.985 -18.907 -18.281 -18.734
19.62 -18.979 -18.912 -18.271 -18.707
19.88 -18.972 -18.911 -18.269 -18.679
20.12 -18.964 -18.914 -18.282 -18.655
20.38 -18.955 -18.913 -18.254 -18.623
20.62 -18.946 -18.916 -18.255 -18.596
20.88 -18.942 -18.926 -18.253 -18.573
21.12 -18.928 -18.923 -18.246 -18.541
21.38 -18.917 -18.921 -18.243 -18.515
21.62 -18.902 -18.916 -18.230 -18.478
21.88 -18.896 -18.915 -18.226 -18.453
22.12 -18.872 -18.914 -18.211 -18.415
22.38 -18.857 -18.904 -18.198 -18.378
22.62 -18.843 -18.901 -18.186 -18.342
22.88 -18.814 -18.895 -18.169 -18.303
23.12 -18.791 -18.886 -18.163 -18.262
23.38 -18.767 -18.883 -18.160 -18.216
23.62 -18.739 -18.865 -18.141 -18.169
23.88 -18.704 -18.857 -18.118 -18.118
24.12 -18.671 -18.838 -18.115 -18.065
24.38 -18.636 -18.823 -18.104 -18.016
24.62 -18.603 -18.818 -18.091 -17.958
24.88 -18.565 -18.808 -18.073 -17.908
25.12 -18.521 -18.795 -18.068 -17.853
25.38 -18.481 -18.782 -18.057 -17.793
25.62 -18.435 -18.761 -18.050 -17.737
25.88 -18.401 -18.762 -18.035 -17.683
26.12 -18.352 -18.743 -18.032 -17.622
26.38 -18.316 -18.731 -18.005 -17.576
26.62 -18.274 -18.718 -18.003 -17.524
26.88 -18.238 -18.701 -18.012 -17.484
27.12 -18.202 -18.702 -18.020 -17.436
27.38 -18.165 -18.689 -18.008 -17.396
27.62 -18.129 -18.671 -18.010 -17.349
27.88 -18.102 -18.659 -18.032 -17.312
28.12 -18.071 -18.653 -18.038 -17.277
28.38 -18.035 -18.647 -18.040 -17.236
28.62 -18.004 -18.632 -18.048 -17.206
28.88 -17.975 -18.628 -18.062 -17.162
29.12 -17.936 -18.610 -18.067 -17.127
29.38 -17.917 -18.607 -18.074 -17.099
29.62 -17.884 -18.598 -18.086 -17.063
29.88 -17.850 -18.589 -18.092 -17.025
30.12 -17.824 -18.581 -18.103 -17.001
30.38 -17.794 -18.565 -18.101 -16.963
30.62 -17.758 -18.563 -18.122 -16.937
30.88 -17.726 -18.555 -18.133 -16.898
31.12 -17.706 -18.537 -18.149 -16.873
31.38 -17.671 -18.534 -18.148 -16.839
31.62 -17.649 -18.517 -18.154 -16.815
31.88 -17.610 -18.507 -18.161 -16.776
32.12 -17.584 -18.499 -18.168 -16.758
32.38 -17.543 -18.483 -18.175 -16.712
32.62 -17.515 -18.475 -18.181 -16.681
32.88 -17.481 -18.457 -18.174 -16.643
33.12 -17.445 -18.443 -18.176 -16.611
33.38 -17.415 -18.434 -18.178 -16.580
33.62 -17.387 -18.420 -18.187 -16.547
33.88 -17.347 -18.404 -18.183 -16.512
34.12 -17.311 -18.392 -18.173 -16.479
34.38 -17.282 -18.382 -18.179 -16.440
34.62 -17.240 -18.364 -18.175 -16.394
34.88 -17.215 -18.353 -18.172 -16.368
