# Time ZTFg ZTFr ZTFi B
1.12 -15.753 -15.699 -15.453 -15.891
1.38 -16.104 -16.030 -15.812 -16.189
1.62 -16.474 -16.268 -16.002 -16.488
1.88 -16.630 -16.435 -16.133 -16.634
2.12 -16.780 -16.568 -16.212 -16.760
2.38 -16.912 -16.649 -16.282 -16.877
2.62 -16.996 -16.702 -16.308 -16.954
2.88 -17.079 -16.770 -16.430 -17.038
3.12 -17.182 -16.882 -16.543 -17.132
3.38 -17.293 -16.985 -16.674 -17.244
3.62 -17.420 -17.105 -16.797 -17.369
3.88 -17.551 -17.235 -16.906 -17.518
4.12 -17.668 -17.352 -17.023 -17.645
4.38 -17.777 -17.452 -17.144 -17.769
4.62 -17.902 -17.572 -17.229 -17.911
4.88 -17.997 -17.677 -17.327 -18.018
5.12 -18.089 -17.774 -17.415 -18.123
5.38 -18.170 -17.866 -17.513 -18.208
5.62 -18.256 -17.950 -17.608 -18.298
5.88 -18.337 -18.045 -17.690 -18.380
6.12 -18.413 -18.126 -17.773 -18.460
6.38 -18.472 -18.194 -17.839 -18.520
6.62 -18.535 -18.267 -17.922 -18.581
6.88 -18.598 -18.348 -17.999 -18.642
7.12 -18.658 -18.398 -18.063 -18.703
7.38 -18.712 -18.461 -18.104 -18.757
7.62 -18.762 -18.518 -18.177 -18.806
7.88 -18.817 -18.574 -18.229 -18.857
8.12 -18.855 -18.623 -18.278 -18.897
8.38 -18.904 -18.670 -18.320 -18.946
8.62 -18.951 -18.715 -18.356 -18.989
8.88 -18.978 -18.758 -18.398 -19.020
9.12 -19.016 -18.799 -18.435 -19.054
9.38 -19.061 -18.829 -18.448 -19.096
9.62 -19.091 -18.867 -18.490 -19.122
9.88 -19.120 -18.886 -18.509 -19.155
10.12 -19.146 -18.929 -18.540 -19.178
10.38 -19.178 -18.957 -18.550 -19.208
10.62 -19.202 -18.985 -18.553 -19.236
10.88 -19.230 -19.005 -18.590 -19.262
11.12 -19.258 -19.028 -18.589 -19.285
11.38 -19.287 -19.041 -18.599 -19.311
11.62 -19.305 -19.079 -18.606 -19.329
11.88 -19.329 -19.087 -18.623 -19.350
12.12 -19.346 -19.110 -18.616 -19.372
12.38 -19.368 -19.126 -18.626 -19.385
12.62 -19.385 -19.136 -18.630 -19.402
12.88 -19.406 -19.167 -18.622 -19.422
13.12 -19.421 -19.173 -18.626 -19.437
13.38 -19.441 -19.192 -18.620 -19.447
13.62 -19.455 -19.193 -18.624 -19.462
13.88 -19.464 -19.219 -18.616 -19.470
14.12 -19.480 -19.230 -18.606 -19.484
14.38 -19.497 -19.235 -18.604 -19.498
14.62 -19.504 -19.246 -18.608 -19.505
14.88 -19.510 -19.255 -18.594 -19.512
15.12 -19.527 -19.277 -18.592 -19.520
15.38 -19.543 -19.273 -18.592 -19.533
15.62 -19.550 -19.274 -18.574 -19.537
15.88 -19.561 -19.294 -18.556 -19.542
16.12 -19.567 -19.288 -18.556 -19.547
16.38 -19.578 -19.301 -18.554 -19.549
16.62 -19.584 -19.307 -18.543 -19.554
16.88 -19.591 -19.309 -18.529 -19.555
17.12 -19.593 -19.311 -18.517 -19.553
17.38 -19.595 -19.318 -18.514 -19.550
17.62 -19.599 -19.310 -18.491 -19.545
17.88 -19.603 -19.318 -18.477 -19.545
18.12 -19.600 -19.311 -18.485 -19.538
18.38 -19.600 -19.315 -18.481 -19.528
18.62 -19.606 -19.312 -18.460 -19.524
18.88 -19.598 -19.311 -18.460 -19.509
19.12 -19.604 -19.316 -18.458 -19.502
19.38 -19.593 -19.312 -18.453 -19.484
19.62 -19.590 -19.310 -18.460 -19.466
19.88 -19.588 -19.308 -18.438 -19.450
20.12 -19.579 -19.305 -18.441 -19.430
20.38 -19.568 -19.291 -18.428 -19.402
20.62 -19.561 -19.295 -18.423 -19.387
20.88 -19.552 -19.282 -18.413 -19.359
21.12 -19.545 -19.271 -18.402 -19.338
21.38 -19.532 -19.259 -18.411 -19.303
21.62 -19.521 -19.254 -18.389 -19.277
21.88 -19.508 -19.249 -18.380 -19.244
22.12 -19.499 -19.233 -18.391 -19.213
22.38 -19.484 -19.216 -18.385 -19.180
22.62 -19.462 -19.212 -18.365 -19.144
22.88 -19.447 -19.193 -18.351 -19.106
23.12 -19.431 -19.189 -18.346 -19.072
23.38 -19.414 -19.169 -18.333 -19.036
23.62 -19.400 -19.159 -18.323 -19.000
23.88 -19.378 -19.136 -18.313 -18.959
24.12 -19.353 -19.132 -18.291 -18.916
24.38 -19.338 -19.107 -18.287 -18.880
24.62 -19.312 -19.089 -18.278 -18.839
24.88 -19.296 -19.076 -18.255 -18.802
25.12 -19.269 -19.053 -18.252 -18.763
25.38 -19.247 -19.043 -18.242 -18.726
25.62 -19.222 -19.027 -18.246 -18.684
25.88 -19.193 -19.005 -18.222 -18.643
26.12 -19.164 -18.988 -18.222 -18.595
