# Time ZTFg ZTFr ZTFi B
1.12 -15.921 -15.653 -15.422 -15.983
1.38 -16.039 -15.814 -15.659 -16.063
1.62 -16.221 -16.032 -15.823 -16.212
1.88 -16.313 -16.212 -15.941 -16.245
2.12 -16.350 -16.267 -15.952 -16.235
2.38 -16.261 -16.206 -15.935 -16.090
2.62 -16.147 -16.183 -15.954 -15.878
2.88 -16.033 -16.207 -16.009 -15.688
3.12 -15.910 -16.295 -16.079 -15.500
3.38 -15.817 -16.366 -16.179 -15.367
3.62 -15.772 -16.476 -16.298 -15.282
3.88 -15.807 -16.589 -16.427 -15.291
4.12 -15.911 -16.714 -16.550 -15.394
4.38 -16.075 -16.857 -16.672 -15.557
4.62 -16.263 -16.971 -16.760 -15.740
4.88 -16.469 -17.093 -16.866 -15.981
5.12 -16.692 -17.208 -16.946 -16.233
5.38 -16.892 -17.291 -17.036 -16.468
5.62 -17.091 -17.382 -17.109 -16.716
5.88 -17.253 -17.459 -17.179 -16.926
6.12 -17.406 -17.522 -17.253 -17.128
6.38 -17.548 -17.602 -17.314 -17.323
6.62 -17.676 -17.669 -17.378 -17.490
6.88 -17.776 -17.732 -17.447 -17.641
7.12 -17.876 -17.787 -17.508 -17.778
7.38 -17.969 -17.869 -17.555 -17.901
7.62 -18.052 -17.923 -17.622 -18.005
7.88 -18.126 -17.978 -17.669 -18.100
8.12 -18.183 -18.038 -17.722 -18.177
8.38 -18.248 -18.094 -17.770 -18.254
8.62 -18.291 -18.146 -17.822 -18.312
8.88 -18.345 -18.199 -17.864 -18.371
9.12 -18.391 -18.241 -17.927 -18.421
9.38 -18.425 -18.291 -17.969 -18.462
9.62 -18.467 -18.330 -17.999 -18.507
9.88 -18.506 -18.375 -18.052 -18.545
10.12 -18.545 -18.410 -18.082 -18.587
10.38 -18.574 -18.449 -18.122 -18.617
10.62 -18.609 -18.483 -18.145 -18.652
10.88 -18.642 -18.524 -18.178 -18.678
11.12 -18.678 -18.559 -18.212 -18.714
11.38 -18.707 -18.580 -18.230 -18.745
11.62 -18.735 -18.616 -18.254 -18.770
11.88 -18.762 -18.635 -18.272 -18.795
12.12 -18.798 -18.658 -18.276 -18.825
12.38 -18.820 -18.681 -18.294 -18.843
12.62 -18.840 -18.704 -18.319 -18.862
12.88 -18.866 -18.722 -18.324 -18.884
13.12 -18.884 -18.737 -18.348 -18.900
13.38 -18.912 -18.763 -18.361 -18.922
13.62 -18.935 -18.773 -18.363 -18.939
13.88 -18.951 -18.788 -18.367 -18.952
14.12 -18.971 -18.801 -18.373 -18.970
14.38 -18.992 -18.811 -18.371 -18.984
14.62 -19.004 -18.828 -18.379 -18.990
14.88 -19.019 -18.839 -18.380 -19.003
15.12 -19.034 -18.844 -18.381 -19.011
15.38 -19.047 -18.861 -18.382 -19.015
15.62 -19.056 -18.865 -18.368 -19.020
15.88 -19.072 -18.873 -18.375 -19.029
16.12 -19.077 -18.888 -18.377 -19.023
16.38 -19.080 -18.888 -18.358 -19.021
16.62 -19.092 -18.902 -18.343 -19.022
16.88 -19.095 -18.902 -18.342 -19.013
17.12 -19.090 -18.914 -18.340 -18.994
17.38 -19.098 -18.914 -18.338 -18.987
17.62 -19.100 -18.919 -18.334 -18.968
17.88 -19.085 -18.929 -18.328 -18.937
18.12 -19.085 -18.935 -18.325 -18.916
18.38 -19.079 -18.940 -18.322 -18.888
18.62 -19.073 -18.952 -18.304 -18.866
18.88 -19.071 -18.949 -18.308 -18.841
19.12 -19.063 -18.963 -18.316 -18.812
19.38 -19.062 -18.965 -18.311 -18.789
19.62 -19.055 -18.966 -18.307 -18.759
19.88 -19.049 -18.970 -18.293 -18.735
20.12 -19.043 -18.976 -18.305 -18.705
20.38 -19.029 -18.977 -18.295 -18.678
20.62 -19.021 -18.984 -18.283 -18.648
20.88 -19.012 -18.983 -18.290 -18.617
21.12 -18.997 -18.978 -18.277 -18.582
21.38 -18.979 -18.986 -18.274 -18.545
21.62 -18.972 -18.986 -18.269 -18.519
21.88 -18.952 -18.972 -18.272 -18.482
22.12 -18.936 -18.972 -18.252 -18.439
22.38 -18.917 -18.967 -18.236 -18.401
22.62 -18.890 -18.965 -18.241 -18.365
22.88 -18.866 -18.955 -18.237 -18.317
23.12 -18.846 -18.947 -18.212 -18.276
23.38 -18.820 -18.942 -18.196 -18.230
23.62 -18.784 -18.935 -18.205 -18.184
23.88 -18.756 -18.921 -18.180 -18.138
24.12 -18.730 -18.911 -18.168 -18.091
24.38 -18.698 -18.908 -18.161 -18.043
24.62 -18.664 -18.897 -18.143 -17.992
24.88 -18.625 -18.882 -18.144 -17.938
25.12 -18.586 -18.866 -18.119 -17.890
25.38 -18.559 -18.865 -18.121 -17.848
25.62 -18.521 -18.848 -18.114 -17.799
25.88 -18.478 -18.836 -18.088 -17.740
26.12 -18.452 -18.827 -18.089 -17.699
26.38 -18.417 -18.805 -18.100 -17.655
26.62 -18.382 -18.803 -18.094 -17.610
26.88 -18.342 -18.784 -18.093 -17.566
27.12 -18.312 -18.774 -18.073 -17.524
27.38 -18.278 -18.759 -18.085 -17.479
27.62 -18.243 -18.758 -18.094 -17.442
27.88 -18.204 -18.728 -18.079 -17.394
28.12 -18.180 -18.724 -18.089 -17.360
28.38 -18.144 -18.717 -18.112 -17.313
28.62 -18.099 -18.705 -18.115 -17.261
28.88 -18.067 -18.694 -18.125 -17.223
29.12 -18.036 -18.681 -18.127 -17.188
29.38 -18.001 -18.673 -18.132 -17.148
29.62 -17.972 -18.668 -18.145 -17.114
29.88 -17.931 -18.658 -18.158 -17.074
30.12 -17.903 -18.647 -18.170 -17.044
30.38 -17.880 -18.641 -18.174 -17.019
30.62 -17.847 -18.635 -18.177 -16.977
30.88 -17.802 -18.628 -18.195 -16.938
31.12 -17.782 -18.610 -18.213 -16.910
31.38 -17.743 -18.609 -18.219 -16.870
31.62 -17.716 -18.598 -18.218 -16.843
31.88 -17.683 -18.590 -18.237 -16.819
32.12 -17.667 -18.583 -18.243 -16.788
32.38 -17.628 -18.576 -18.245 -16.755
32.62 -17.599 -18.551 -18.247 -16.728
32.88 -17.564 -18.547 -18.253 -16.689
33.12 -17.539 -18.530 -18.267 -16.664
33.38 -17.498 -18.520 -18.263 -16.622
33.62 -17.467 -18.508 -18.251 -16.592
33.88 -17.441 -18.488 -18.264 -16.563
34.12 -17.401 -18.477 -18.249 -16.521
34.38 -17.373 -18.469 -18.247 -16.495
34.62 -17.344 -18.439 -18.250 -16.464
34.88 -17.300 -18.425 -18.249 -16.416
