,name,z_Marshall,z_NED,ra_recenter,dec_recenter,t0_SALT_adam_jd,E_B_V_SandF,z_Caltech,z_adopt,z_source,z_adopt_unc,t0_B_salt2,t0_g_salt2,t0_r_salt2,x0_salt2,x1_salt2,c_salt2,fratio_gmax_2adam,fratio_rmax_2adam,t0_salt2_unc,x0_salt2_unc,x1_salt2_unc,c_salt2_unc,chisq_salt2,ndof_salt2,n10d_20d,B_app0,B_app0_unc,g_app0,g_app0_unc,r_app0,r_app0_unc,dm15B,dm15B_unc,dm15g,dm15g_unc,dm15r,dm15r_unc,dm15B_rest,dm15B_rest_unc,dm15g_rest,dm15g_rest_unc,dm15r_rest,dm15r_rest_unc,t0_poly_g,t0_poly_g_unc,t0_poly_r,t0_poly_r_unc,dm15g_poly,dm15g_poly_unc,g_app_poly,g_app_poly_unc,r_app_poly,r_app_poly_unc,dm15r_poly,dm15r_poly_unc,dm15g_rest_poly,dm15g_rest_poly_unc,dm15r_rest_poly,dm15r_rest_poly_unc,dm15g_adopted,dm15g_adopted_unc,dm15g_rest_adopted,dm15g_rest_adopted_unc,t0_g_adopted,t0_g_adopted_unc,g_app0_adopt,g_app0_unc_adopt,dm15r_adopted,dm15r_adopted_unc,dm15r_rest_adopted,dm15r_rest_adopted_unc,t0_r_adopted,t0_r_adopted_unc,r_app0_adopt,r_app0_unc_adopt,TNS name,telescope_spec,date_spec,utcjds,phases,Ia subtype,phase used,spec used,ebv_host,ebv_host_unc,sbv,sbv_unc,g_abs0,g_abs0_unc,r_abs0,r_abs0_unc,dis_mod,dis_mod_unc,instrument,nspecs,internal name,B_abs0_SALT2corr,B_abs0_unc_SALT2corr
32,ZTF18aaxrvzj,0.114,-999.0,241.7398043,59.01523495,2458285.82628,0.0113,-999.0,0.114,Msl,0.005,2458285.914034198,2458284.5,2458287.37,1.1255153043143116e-14,1.3827164438324429,-0.008040850109332531,2.466933941925207e-08,2.347296939171688e-08,0.08675593277439475,3.823623514027359e-16,0.2960152630685,0.027906604488058928,1439.50350696764,511.0,44.0,19.05205785949865,0.037593048772312995,19.14334982983691,0.026448847242521882,19.345914891768427,0.003890826968778,0.9010640934548206,0.03786926927907402,0.6621006345317824,0.026679720066929587,0.6446869036029526,0.006188023143328012,1.0719211040095615,0.03812090038523777,0.7825566585702859,0.02710521862470554,0.6828949634248218,0.009161123912357455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621006345317824,0.026679720066929587,0.7825566585702859,0.02710521862470554,2458284.5,0.08675593277439475,19.14334982983691,0.026448847242521882,0.6446869036029526,0.006188023143328012,0.6828949634248218,0.009161123912357455,2458287.37,0.08675593277439475,19.345914891768427,0.003890826968778,SN2018lpe,"P200,APO",20180608;20180620,2458277.7916666665;2458289.7916666665,"[-6.7, 5.3]",normal,5.0,20180620_APO,0.050378,0.008181,1.20615,0.011036,-19.38294401613223,0.105934554419896,-19.18037895420072,0.10265343069856273,38.52629384596914,0.10257966806187106,APO,2.0,ZTF18aaxrvzj,-19.449309351131557,0.13935757699183354
33,ZTF18aaxsioa,0.03,0.031518,252.41294680000004,45.4922889,2458286.73709,0.0171,-999.0,0.031518,NED,0.0001,2458286.6527977856,2458286.45,2458287.54,9.28319103885333e-14,-1.5085488456431335,0.04997270480488058,1.887300926171207e-07,1.835417623078805e-07,0.010812658350914715,1.652570502894653e-15,0.060648140902296525,0.01802242027953671,11208.349683187538,619.0,46.0,16.761318541414663,0.019182986035678404,16.823958692793767,0.012096806965762177,16.895275939302334,0.008017977163986258,1.4396380089477532,0.01965953807724521,0.9794679577146608,0.012435952649968914,0.7094151983594871,0.012316126687066952,1.5057975826201826,0.019597221801396492,1.0315789358314404,0.012373921180852364,0.7234239160488158,0.012279970388997792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9794679577146608,0.012435952649968914,1.0315789358314404,0.012373921180852364,2458286.45,0.010812658350914715,16.823958692793767,0.012096806965762177,0.7094151983594871,0.012316126687066952,0.7234239160488158,0.012279970388997792,2458287.54,0.010812658350914715,16.895275939302334,0.008017977163986258,SN2018cfa,P200,20180608,2458277.7916666665,-8.7,normal*,-9.0,20180608_P200,0.159663,0.002877,0.810959,0.001928,-18.782308093083728,0.01400345768164958,-18.71099084657516,0.010679515254778343,35.60626678587749,0.007054366610464631,P200,1.0,,-18.99986362935796,0.0597002940054068
34,ZTF18aaxvpsw,0.0916,0.091556,224.976663,39.0788005,2458287.3184700003,0.0109,-999.0,0.091556,NED,0.0001,2458287.71955774,2458286.99,2458289.43,1.7105270411945218e-14,0.038300429411304286,-0.008325434243347196,3.703798663335402e-08,3.44621154390943e-08,0.1130729499273002,8.178049733835383e-16,0.3452682255974384,0.04582831197725668,423.34384169776763,311.0,37.0,18.597786675237717,0.05284792123256852,18.68671251408487,0.03409301749601222,18.85959575716244,0.014181691341885587,1.121182527969694,0.053389547586354204,0.8016283956392343,0.034519112542548844,0.6754566553307413,0.02204581096874942,1.2764926556676457,0.05398483875788774,0.9211945506806388,0.03506085268105534,0.7141582403483184,0.02391617671911473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016283956392343,0.034519112542548844,0.9211945506806388,0.03506085268105534,2458286.99,0.1130729499273002,18.68671251408487,0.03409301749601222,0.6754566553307413,0.02204581096874942,0.7141582403483184,0.02391617671911473,2458289.43,0.1130729499273002,18.85959575716244,0.014181691341885587,SN2018cof,P60,20180613,2458282.7916666665,-4.2,normal,-4.0,20180613_P60,0.10326300000000001,0.007513,1.028381,0.01098,-19.330028183420648,0.03418625717122393,-19.157144940343077,0.014404398866671834,38.01674069750552,0.0025231601997622284,P60,1.0,ZTF18aaxvpsw,-19.39314517611343,0.1516021526948462
35,ZTF18aaxwjmp,0.084,-999.0,252.9056982,61.54536829999999,2458288.7476,0.0304,-999.0,0.084,Msl,0.005,2458288.929052032,2458288.19,2458290.65,1.690124889629832e-14,0.41603130653405707,-0.01269362829255094,3.421748842015634e-08,3.1685335550261494e-08,0.03615020238794386,3.8818023090228124e-16,0.15360213560876446,0.01893143946167441,4059.7282200115287,1113.0,93.0,18.610768017089367,0.025212391710015374,18.702160043713707,0.01760348976531215,18.88843199934495,0.0025716799592654595,1.0549642325452382,0.02549189688929113,0.7610276935429781,0.017914174265286076,0.6669241361637432,0.004744386969308964,1.1928478619046599,0.02550031024043729,0.8647284941889879,0.017794675736993733,0.7030111347755792,0.005331136452797541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7610276935429781,0.017914174265286076,0.8647284941889879,0.017794675736993733,2458288.19,0.03615020238794386,18.702160043713707,0.01760348976531215,0.6669241361637432,0.004744386969308964,0.7030111347755792,0.005331136452797541,2458290.65,0.03615020238794386,18.88843199934495,0.0025716799592654595,SN2018coe,"P60,P60",20180618;20180620,2458287.7916666665;2458289.7916666665,"[-0.4, 1.6]",normal,2.0,20180620_P60,0.09739,0.004218,1.078186,0.007234999999999999,-19.11604172778701,0.13803135313048534,-18.92976977215577,0.1369283941807841,37.81820177150072,0.1369042424292078,P60,2.0,ZTF18aaxwjmp,-19.168083506704445,0.15107701945604354
36,ZTF18aaydmkh,0.077,-999.0,260.1610906,52.04194260000001,2458288.5701,0.0249,-999.0,0.077,Msl,0.005,2458288.825024993,2458288.18,2458290.46,1.1818873873654002e-14,0.34831774078217315,0.1934242876925074,2.473036731031809e-08,2.8701777924420746e-08,0.12022568634711205,4.689055295654614e-16,0.2609870056279284,0.03347351997952108,433.64651959363886,335.0,39.0,18.996830596120574,0.04337863246830879,19.004617096539377,0.029318730448128605,18.952353434141017,0.005611168243998751,1.053440842139416,0.04471857483813362,0.7500743158662857,0.030921160224620763,0.6677753663885753,0.008271903787613331,1.1792179884439378,0.04408389684485784,0.8444203999519431,0.029990681567515918,0.7012248694985317,0.009604129317991202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500743158662857,0.030921160224620763,0.8444203999519431,0.029990681567515918,2458288.18,0.12022568634711205,19.004617096539377,0.029318730448128605,0.6677753663885753,0.008271903787613331,0.7012248694985317,0.009604129317991202,2458290.46,0.12022568634711205,18.952353434141017,0.005611168243998751,SN2018coh,P200,20180608,2458277.7916666665,-10.4,normal*,-10.0,20180608_P200,0.311215,0.0072959999999999995,1.063755,0.013544,-18.61387853354533,0.15159172426407969,-18.66614219594369,0.1488353053523565,37.61849563008471,0.14872949576417835,P200,1.0,ZTF18aaydmkh,-19.22128032581091,0.18746753789241835
37,ZTF18aayjvve,0.04727,0.047372000000000004,226.069173,35.81503350000001,2458292.61171,0.0126,-999.0,0.047372000000000004,NED,0.0001,2458292.6873185653,2458292.17,2458294.04,4.5275773485409795e-14,-0.08823550293441329,0.06033047821683012,9.610120534173144e-08,9.217886524195676e-08,0.019653056049719453,1.1058023928881345e-15,0.09814133368363633,0.018321159963614164,1942.2314068659152,206.0,15.0,17.54065278683736,0.026478827036622625,17.601588711238502,0.019151338066354228,17.692175410092492,0.0024226381657247416,1.139480944568504,0.028164695331264075,0.8090507923331032,0.0208525186935361,0.6780421123270771,0.003778663910870068,1.2218474470236913,0.02789284189831116,0.8719780683709857,0.020513033621781914,0.7006518039005982,0.0037707237098763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8090507923331032,0.0208525186935361,0.8719780683709857,0.020513033621781914,2458292.17,0.019653056049719453,17.601588711238502,0.019151338066354228,0.6780421123270771,0.003778663910870068,0.7006518039005982,0.0037707237098763,2458294.04,0.019653056049719453,17.692175410092492,0.0024226381657247416,SN2018cny,P60,20180612,2458281.7916666665,-10.4,normal,-10.0,20180612_P60,0.19279200000000002,0.005811,0.984331,0.007081999999999999,-18.9153194513258,0.01973039011181372,-18.82473275247181,0.005327637367031862,36.5169081625643,0.004744949339304694,P60,1.0,ZTF18aayjvve,-19.16327985819911,0.06313303575521483
38,ZTF18aaykjei,0.1,-999.0,244.91235130000004,49.18517775,2458294.516,0.0137,0.097,0.097,CIT,0.0001,2458294.35186518,2458289.98,2458297.18,1.0815899831352988e-14,4.13567968904697,0.495520031493828,2.5146334271855684e-08,3.876449180469348e-08,0.04885740811005235,2.5313354253175657e-16,0.20946914525806198,0.016246608637836786,18447.12619558933,547.0,47.0,19.08120911760976,0.02490365412273984,18.97130403540637,0.018696036099873244,18.681286164445087,0.006607723597412725,0.5446248482353866,0.02578924260429245,0.4034026050635049,0.01927836151224701,0.5770987559255616,0.007811040027171148,0.6617056689527274,0.025445562141066684,0.4653073131015972,0.01883986681528221,0.6023185930358395,0.006907539225834879,2458292.2197352974,0.3533554647473141,2458298.2144465996,0.4474315795195492,0.4387412049869148,0.02845753479623021,18.998813289098422,0.018896415769082044,18.528914762943398,0.009593228556532178,0.25857470216749334,0.014497764050869211,0.4835817531915261,0.031347725845357506,0.29919411075105273,0.015904490565872564,0.4387412049869148,0.02845753479623021,0.4835817531915261,0.031347725845357506,2458292.2197352974,0.3533554647473141,18.948729774812275,0.018896415769082044,0.25857470216749334,0.014497764050869211,0.29919411075105273,0.015904490565872564,2458298.2144465996,0.4474315795195492,18.493258321386097,0.009593228556532178,SN2018crl,"APO,P60,P60,P60,P200",20180613;20180619;20180626;20180707;20180912,2458282.7916666665;2458288.7916666665;2458295.7916666665;2458306.7916666665;2458373.7916666665,"[-9.4, -3.4, 3.6, 14.6, 81.6]",Ia-CSM,"-3.0,4.0,-9.0,15.0,82.0","20180619_P60,20180626_P60,20180613_APO,20180707_P60,20180912_P200",0.243154,0.02147,1.753495,0.016457,-19.201647743577357,0.019046822119493826,-19.65711919700354,0.009886199374455848,38.15037751838963,0.0023889127095033675,"P60,P60,APO,P60,P200",5.0,ZTF18aaykjei,-20.60528049841074,0.07495252788969396
39,ZTF18aaytovs,0.08,-999.0,266.4724817,31.710516499999997,2458294.74588,0.0523,0.0746,0.0746,CIT,0.0001,2458294.97204841,2458294.08,2458296.85,2.778417237018357e-14,2.0273466807429923,0.12141177292758165,5.2835129943808964e-08,5.676323318156277e-08,0.0335408675018698,1.1568466942185815e-15,0.36771575575359705,0.04426066639468473,3017.004624916149,562.0,41.0,18.06991410530596,0.04437212139035468,18.10963172608191,0.027229894566430258,18.179536698085105,0.01602863099146571,0.8045048050488504,0.04544589357163184,0.5931049132092383,0.0292492643186262,0.6292079737874872,0.02954581534223408,0.9115154929166778,0.046120833005086105,0.6650410456132008,0.03090125038123432,0.6617259056025944,0.029276616594359213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931049132092383,0.0292492643186262,0.6650410456132008,0.03090125038123432,2458294.08,0.0335408675018698,18.10963172608191,0.027229894566430258,0.6292079737874872,0.02954581534223408,0.6617259056025944,0.029276616594359213,2458296.85,0.0335408675018698,18.179536698085105,0.01602863099146571,SN2018crk,"P60,P200",20180703;20180708,2458302.7916666665;2458307.7916666665,"[8.7, 13.7]",99aa-like,14.0,20180708_P200,0.129998,0.011023,1.287798,0.01218,-19.436389889468085,0.0274019453278752,-19.36648491746489,0.016319205284373632,37.546021615549996,0.0030658521903303205,P200,2.0,ZTF18aaytovs,-19.852484006319546,0.1447471800050683
40,ZTF18aazabmh,0.073,-999.0,254.9051284,59.073287199999996,2458290.71918,0.0128,-999.0,0.073,Msl,0.005,2458290.9654580345,2458290.38,2458292.49,1.4062784623078732e-14,-0.2511813151425493,0.1072737904220986,3.0446131859648165e-08,3.1541226301419464e-08,0.05610028048977257,4.295119566057907e-16,0.17638353834037446,0.02486011776036801,3611.9088585031236,600.0,42.0,18.809661400910443,0.033306428570343584,18.851344000487035,0.02306154985361973,18.8840493683898,0.0034747495978858308,1.1663121955144715,0.033882165365264984,0.8224845399954717,0.0239829870495702,0.6815133773940261,0.0058362974922796474,1.2941329962081412,0.03367224723544834,0.9214637271110035,0.023477940410128892,0.7140820676035986,0.006223061818040617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8224845399954717,0.0239829870495702,0.9214637271110035,0.023477940410128892,2458290.38,0.05610028048977257,18.851344000487035,0.02306154985361973,0.6815133773940261,0.0058362974922796474,0.7140820676035986,0.006223061818040617,2458292.49,0.05610028048977257,18.8840493683898,0.0034747495978858308,SN2018crr,P200,20180612,2458281.7916666665,-8.6,normal,-9.0,20180612_P200,0.243679,0.007056999999999999,0.991692,0.008436,-18.645114504661304,0.15818902761222678,-18.61240913675854,0.15653755862418087,37.49645850514835,0.15649898841606247,P200,1.0,ZTF18aazabmh,-19.019345854546398,0.1779200743131533
41,ZTF18aazblzy,0.06,0.06532,242.83947940000002,36.9943003,2458292.2303,0.0116,-999.0,0.06532,NED,0.0001,2458292.46622814,2458291.97,2458293.69,2.432103569991561e-14,-1.6769105238248532,-0.06622086200554023,5.1628320167033395e-08,4.3890910100985654e-08,0.02281243819743395,5.587899661591579e-16,0.09273802089015072,0.02041760983941909,3112.6095522727906,856.0,73.0,18.215787011604615,0.025220415927791603,18.32479763899897,0.0169537463866103,18.528778343164507,0.005813457832070766,1.4949644956047266,0.02555444800369314,1.0171692900570193,0.01759322801015062,0.7136783431873752,0.009114983977059515,1.6354509271272093,0.02551984414453433,1.1302141212059738,0.017284921459429902,0.7430649435176875,0.00907377941955674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171692900570193,0.01759322801015062,1.1302141212059738,0.017284921459429902,2458291.97,0.02281243819743395,18.32479763899897,0.0169537463866103,0.7136783431873752,0.009114983977059515,0.7430649435176875,0.00907377941955674,2458293.69,0.02281243819743395,18.528778343164507,0.005813457832070766,SN2018cri,P200,20180612,2458281.7916666665,-10.2,normal,-10.0,20180612_P200,0.023784,0.004932,0.802458,0.004031,-18.918280081072528,0.017307506679119587,-18.71429937690699,0.00677617612459506,37.243077720071504,0.003481417944784452,P200,1.0,ZTF18aazblzy,-18.822006036249707,0.06854375874553223
