# Phase = 14
# Redshift = 0.002128
9507.75581169128  5.122249
9517.14736557007  4.20708
9526.53891944885  4.323269
9535.93047332764  4.147729
9545.32202720642  4.245285
9554.7135810852  3.809659
9564.10513496399  3.830469
9573.49668884277  4.030441
9582.88824272156  3.862831
9592.27979660034  3.732878
9601.67135047913  3.692915
9611.06290435791  3.473043
9620.45445823669  3.327893
9629.84601211548  3.196454
9639.23756599426  2.987177
9648.62911987305  3.062829
9658.02067375183  3.001683
9667.41222763062  2.794091
9676.8037815094  2.839098
9686.19533538818  2.719288
9695.58688926697  2.709584
9704.97844314575  2.68535
9714.36999702454  2.676701
9723.76155090332  2.70145
9733.1531047821  2.666698
9742.54465866089  2.586282
9751.93621253967  2.621643
9761.32776641846  2.801833
9770.71932029724  2.868621
9780.11087417603  2.881708
9789.50242805481  2.817247
9798.89398193359  2.869579
9808.28553581238  2.981539
9817.67708969116  3.004601
9827.06864356995  3.065302
9836.46019744873  3.061813
9845.85175132752  3.083693
9855.2433052063  3.220734
9864.63485908508  3.307164
9874.02641296387  3.394736
9883.41796684265  3.454799
9892.80952072144  3.551853
9902.20107460022  3.628737
9911.592628479  3.611386
9920.98418235779  3.483134
9930.37573623657  3.460879
9939.76729011536  3.553225
9949.15884399414  3.48935
9958.55039787293  3.31388
9967.94195175171  3.357807
9977.33350563049  3.479469
9986.72505950928  3.422543
9996.11661338806  3.426738
10005.5081672668  3.353155
10014.8997211456  3.21514
10024.2912750244  3.130002
10033.6828289032  3.124996
10043.074382782  3.113639
10052.4659366608  3.114341
10061.8574905396  3.108858
10071.2490444183  3.134429
10080.6405982971  3.102489
10090.0321521759  3.076166
10099.4237060547  3.080448
10108.8152599335  3.162158
10118.2068138123  3.151251
10127.598367691  2.997162
10136.9899215698  3.059663
10146.3814754486  3.139184
10155.7730293274  3.144085
10165.1645832062  3.169181
10174.556137085  3.171069
10183.9476909637  3.063011
10193.3392448425  3.000873
10202.7307987213  3.053642
10212.1223526001  3.09899
10221.5139064789  2.998981
10230.9054603577  2.922995
10240.2970142365  2.980303
10249.6885681152  2.967916
10259.080121994  2.897345
10268.4716758728  2.85218
10277.8632297516  2.700303
10287.2547836304  2.610846
10296.6463375092  2.523068
10306.0378913879  2.440195
10315.4294452667  2.470578
10324.8209991455  2.491262
10334.2125530243  2.436068
10343.6041069031  2.361252
10352.9956607819  2.39221
10362.3872146606  2.481036
10371.7787685394  2.566992
10381.1703224182  2.595101
10390.561876297  2.67374
10399.9534301758  2.744562
10409.3449840546  2.793232
10418.7365379334  2.867985
10428.1280918121  2.878199
10437.5196456909  2.920774
10446.9111995697  2.959903
10456.3027534485  3.028004
10465.6943073273  3.106532
10475.0858612061  2.985171
10484.4774150848  2.948316
10493.8689689636  2.975812
10503.2605228424  2.842303
10512.6520767212  2.783177
10522.0436306  2.766509
10531.4351844788  2.718656
10540.8267383575  2.606635
10550.2182922363  2.553503
10559.6098461151  2.500066
10569.0013999939  2.438048
10578.3929538727  2.382904
10587.7845077515  2.312665
10597.1760616303  2.24554
10606.567615509  2.274325
10615.9591693878  2.229646
10625.3507232666  2.19704
10634.7422771454  2.186856
10644.1338310242  2.17908
10653.525384903  2.215005
10662.9169387817  2.203262
10672.3084926605  2.213725
10681.7000465393  2.224049
10691.0916004181  2.209294
10700.4831542969  2.193395
10709.8747081757  2.201736
10719.2662620544  2.210156
10728.6578159332  2.175484
10738.049369812  2.137308
10747.4409236908  2.179659
10756.8324775696  2.23723
10766.2240314484  2.182684
10775.6155853272  2.150581
10785.0071392059  2.173585
10794.3986930847  2.16725
10803.7902469635  2.119663
10813.1818008423  2.17419
10822.5733547211  2.103066
10831.9649085999  2.045226
10841.3564624786  2.058093
10850.7480163574  2.028551
10860.1395702362  1.995069
10869.531124115  1.981146
10878.9226779938  1.956594
10888.3142318726  1.935271
10897.7057857513  1.903501
10907.0973396301  1.867443
10916.4888935089  1.82754
10925.8804473877  1.756246
10935.2720012665  1.739438
10944.6635551453  1.770105
10954.0551090241  1.686221
10963.4466629028  1.661773
10972.8382167816  1.693528
10982.2297706604  1.611812
10991.6213245392  1.569215
11001.012878418  1.676411
11010.4044322968  1.759403
11019.7959861755  1.776024
11029.1875400543  1.711672
11038.5790939331  1.778923
11047.9706478119  1.833628
11057.3622016907  1.75463
11066.7537555695  1.677414
11076.1453094482  1.737906
11085.536863327  1.745858
11094.9284172058  1.645534
11104.3199710846  1.634303
11113.7115249634  1.612966
11123.1030788422  1.530052
11132.4946327209  1.528527
11141.8861865997  1.52377
11151.2777404785  1.557392
11160.6692943573  1.58599
11170.0608482361  1.497586
11179.4524021149  1.440597
11188.8439559937  1.535108
11198.2355098724  1.568439
11207.6270637512  1.550556
11217.01861763  1.50248
11226.4101715088  1.513644
11235.8017253876  1.480335
11245.1932792664  1.480816
11254.5848331451  1.462086
11263.9763870239  1.408576
11273.3679409027  1.402882
11282.7594947815  1.406589
11292.1510486603  1.414959
11301.5426025391  1.413383
11310.9341564178  1.304422
11320.3257102966  1.20669
11329.7172641754  1.112358
11339.1088180542  1.001825
11348.500371933  1.070798
11357.8919258118  1.211007
11367.2834796906  1.26832
11376.6750335693  1.16503
11386.0665874481  1.148889
11395.4581413269  1.141501
11404.8496952057  1.128894
11414.2412490845  1.191896
11423.6328029633  1.26419
11433.024356842  1.144478
11442.4159107208  1.120655
11451.8074645996  1.256252
11461.1990184784  1.286803
11470.5905723572  1.325012
11479.982126236  1.366696
11489.3736801147  1.294978
11498.7652339935  1.301363
11508.1567878723  1.238745
11517.5483417511  1.159016
